group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.8132,0.9998,-5.4078,3.7813,False
DT,MLP,6.1412,0.0012,1.5466,10.7358,True
DT,MLR,6.3071,0.0007,1.7126,10.9017,True
DT,PLS,6.9106,0.0001,2.316,11.5051,True
DT,RF,0.0279,1.0,-4.5667,4.6224,False
DT,XGB,-0.1675,1.0,-4.7621,4.427,False
DT,kNN,5.4368,0.0076,0.8422,10.0313,True
DT,lasso,6.7555,0.0002,2.1609,11.3501,True
LGBM,MLP,6.9544,0.0001,2.3599,11.549,True
LGBM,MLR,7.1204,0.0001,2.5258,11.7149,True
LGBM,PLS,7.7238,0.0,3.1292,12.3183,True
LGBM,RF,0.8411,0.9997,-3.7535,5.4357,False
LGBM,XGB,0.6457,1.0,-3.9489,5.2403,False
LGBM,kNN,6.25,0.0009,1.6554,10.8446,True
LGBM,lasso,7.5687,0.0,2.9742,12.1633,True
MLP,MLR,0.1659,1.0,-4.4286,4.7605,False
MLP,PLS,0.7694,0.9999,-3.8252,5.3639,False
MLP,RF,-6.1133,0.0013,-10.7079,-1.5188,True
MLP,XGB,-6.3087,0.0007,-10.9033,-1.7142,True
MLP,kNN,-0.7044,0.9999,-5.299,3.8901,False
MLP,lasso,0.6143,1.0,-3.9802,5.2089,False
MLR,PLS,0.6034,1.0,-3.9911,5.198,False
MLR,RF,-6.2793,0.0008,-10.8738,-1.6847,True
MLR,XGB,-6.4747,0.0004,-11.0692,-1.8801,True
MLR,kNN,-0.8704,0.9997,-5.4649,3.7242,False
MLR,lasso,0.4484,1.0,-4.1462,5.0429,False
PLS,RF,-6.8827,0.0001,-11.4772,-2.2881,True
PLS,XGB,-7.0781,0.0001,-11.6726,-2.4835,True
PLS,kNN,-1.4738,0.9862,-6.0683,3.1208,False
PLS,lasso,-0.1551,1.0,-4.7496,4.4395,False
RF,XGB,-0.1954,1.0,-4.79,4.3992,False
RF,kNN,5.4089,0.0081,0.8143,10.0035,True
RF,lasso,6.7276,0.0002,2.1331,11.3222,True
XGB,kNN,5.6043,0.005,1.0097,10.1989,True
XGB,lasso,6.923,0.0001,2.3285,11.5176,True
kNN,lasso,1.3187,0.9934,-3.2758,5.9133,False
