group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.7391,0.9924,-3.2617,1.7836,False
DT,MLP,0.7219,0.9936,-1.8008,3.2445,False
DT,MLR,3.6704,0.0002,1.1478,6.1931,True
DT,PLS,3.6861,0.0002,1.1634,6.2087,True
DT,RF,-0.4397,0.9998,-2.9624,2.0829,False
DT,XGB,-0.7512,0.9916,-3.2738,1.7715,False
DT,kNN,3.8273,0.0001,1.3046,6.3499,True
DT,lasso,3.7054,0.0002,1.1828,6.2281,True
LGBM,MLP,1.4609,0.683,-1.0617,3.9836,False
LGBM,MLR,4.4095,0.0,1.8869,6.9321,True
LGBM,PLS,4.4252,0.0,1.9025,6.9478,True
LGBM,RF,0.2993,1.0,-2.2233,2.822,False
LGBM,XGB,-0.0121,1.0,-2.5347,2.5105,False
LGBM,kNN,4.5664,0.0,2.0437,7.089,True
LGBM,lasso,4.4445,0.0,1.9218,6.9671,True
MLP,MLR,2.9486,0.0089,0.4259,5.4712,True
MLP,PLS,2.9642,0.0083,0.4416,5.4869,True
MLP,RF,-1.1616,0.8861,-3.6842,1.3611,False
MLP,XGB,-1.473,0.673,-3.9957,1.0496,False
MLP,kNN,3.1054,0.0043,0.5828,5.6281,True
MLP,lasso,2.9836,0.0076,0.4609,5.5062,True
MLR,PLS,0.0157,1.0,-2.507,2.5383,False
MLR,RF,-4.1102,0.0,-6.6328,-1.5875,True
MLR,XGB,-4.4216,0.0,-6.9442,-1.899,True
MLR,kNN,0.1569,1.0,-2.3658,2.6795,False
MLR,lasso,0.035,1.0,-2.4877,2.5576,False
PLS,RF,-4.1258,0.0,-6.6485,-1.6032,True
PLS,XGB,-4.4372,0.0,-6.9599,-1.9146,True
PLS,kNN,0.1412,1.0,-2.3814,2.6638,False
PLS,lasso,0.0193,1.0,-2.5033,2.542,False
RF,XGB,-0.3114,1.0,-2.8341,2.2112,False
RF,kNN,4.267,0.0,1.7444,6.7897,True
RF,lasso,4.1452,0.0,1.6225,6.6678,True
XGB,kNN,4.5784,0.0,2.0558,7.1011,True
XGB,lasso,4.4566,0.0,1.9339,6.9792,True
kNN,lasso,-0.1219,1.0,-2.6445,2.4008,False
