group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-3.4292,0.036,-6.7426,-0.1158,True
DT,MLP,-1.2089,0.9691,-4.5223,2.1045,False
DT,MLR,2.1667,0.5215,-1.1468,5.4801,False
DT,PLS,2.1873,0.508,-1.1261,5.5007,False
DT,RF,-2.1671,0.5212,-5.4805,1.1463,False
DT,XGB,-3.0609,0.097,-6.3743,0.2525,False
DT,kNN,1.128,0.9799,-2.1854,4.4414,False
DT,lasso,2.8908,0.145,-0.4226,6.2043,False
LGBM,MLP,2.2203,0.4864,-1.0931,5.5337,False
LGBM,MLR,5.5959,0.0,2.2825,8.9093,True
LGBM,PLS,5.6165,0.0,2.3031,8.9299,True
LGBM,RF,1.2621,0.9601,-2.0513,4.5755,False
LGBM,XGB,0.3683,1.0,-2.9451,3.6817,False
LGBM,kNN,4.5572,0.0007,1.2438,7.8706,True
LGBM,lasso,6.3201,0.0,3.0066,9.6335,True
MLP,MLR,3.3756,0.042,0.0622,6.689,True
MLP,PLS,3.3962,0.0396,0.0828,6.7096,True
MLP,RF,-0.9582,0.9931,-4.2716,2.3552,False
MLP,XGB,-1.852,0.7239,-5.1654,1.4614,False
MLP,kNN,2.3369,0.4121,-0.9765,5.6503,False
MLP,lasso,4.0998,0.004,0.7864,7.4132,True
MLR,PLS,0.0206,1.0,-3.2928,3.3341,False
MLR,RF,-4.3338,0.0017,-7.6472,-1.0204,True
MLR,XGB,-5.2276,0.0,-8.541,-1.9142,True
MLR,kNN,-1.0387,0.9882,-4.3521,2.2747,False
MLR,lasso,0.7242,0.999,-2.5892,4.0376,False
PLS,RF,-4.3544,0.0015,-7.6678,-1.041,True
PLS,XGB,-5.2482,0.0,-8.5616,-1.9348,True
PLS,kNN,-1.0593,0.9866,-4.3727,2.2541,False
PLS,lasso,0.7036,0.9992,-2.6099,4.017,False
RF,XGB,-0.8938,0.9957,-4.2072,2.4196,False
RF,kNN,3.2951,0.0526,-0.0183,6.6085,False
RF,lasso,5.058,0.0001,1.7445,8.3714,True
XGB,kNN,4.1889,0.0029,0.8755,7.5023,True
XGB,lasso,5.9518,0.0,2.6383,9.2652,True
kNN,lasso,1.7629,0.7751,-1.5506,5.0763,False
