Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.036575655711247504
P_charged_centers,1.0,1.0,0.015160234236368123
N_charged_centers,1.0,1.0,0.004403709779280404
N_charged_centers,0.0,0.0,-0.0007870138154282111
cLogP,9.3028,9.3028,0.019564118121893428
cLogP,9.784,9.784,0.03240184002669411
cLogP,12.515,12.515,-0.00635011862669551
cLogP,6.12,6.12,-0.07666589365503478
cLogP,11.8502,11.8502,0.0012818537953218701
cLogP,12.73,12.73,0.009660843044431499
Double_bonds,1.0,1.0,-0.007313680751822803
Double_bonds,2.0,2.0,0.007623065372044135
Double_bonds,0.0,0.0,0.0028814900972937907
NP_ratio,4.0,4.0,-0.04636742387941739
NP_ratio,8.0,8.0,0.01236422187261797
NP_ratio,12.0,12.0,0.03400320200679956
PEG_(Chol+PEG),0.199600798,0.199600798,-0.012072783533164082
PEG_(Chol+PEG),0.99009901,0.99009901,0.08154091058001504
PEG_(Chol+PEG),9.090909091,9.090909091,-0.06946812704685082
(IL+HL),20.0,20.0,-0.09158522151062874
(IL+HL),40.0,40.0,0.008989024160218306
(IL+HL),60.0,60.0,0.07752244117172588
(IL+HL),80.0,80.0,0.005073756178684604
HL_(IL+HL),0.497512438,0.497512438,-0.011450720283942352
HL_(IL+HL),0.99009901,0.99009901,-0.00851956880385059
HL_(IL+HL),1.960784314,1.960784314,-0.004402855055372047
HL_(IL+HL),9.090909091,9.090909091,0.04857235777761941
HL_(IL+HL),50.0,50.0,-0.024199213634454455
