,0,1,2,3,4,Train_size,Score_Type,Mean_MAE,sd,Percent_Error,Percent_SD
2,0.10731087094723457,0.12093663911845728,0.0943102352193261,0.09142826870099598,0.1022250476795931,2,Train,0.1032422123331214,0.011726367994999522,10.32422123331214,1.1726367994999523
14,0.08162095480277297,0.08441159850250758,0.09414403778040144,0.0861835134562407,0.08327687464051099,14,Train,0.08592739583648673,0.004884852597942837,8.592739583648672,0.4884852597942837
26,0.07492268027233061,0.0684180970544607,0.0714843974983835,0.08381958367972353,0.07764818708874653,26,Train,0.07525858911872899,0.0059192587194931414,7.5258589118728985,0.5919258719493141
37,0.07227808227808227,0.06914528005437096,0.07419677783314146,0.0734215525124616,0.07706618252072797,37,Train,0.07322157503975686,0.0028843707095208893,7.322157503975686,0.2884370709520889
49,0.06770868381257991,0.06851659163347475,0.06846677132391418,0.06243499646097047,0.07065419429055793,49,Train,0.06755624750429945,0.003065902715347343,6.755624750429945,0.30659027153473434
61,0.05735148110706978,0.059354174555366804,0.0619109703014323,0.06073151554522641,0.054634028002135314,61,Train,0.05879643390224611,0.002879646855109302,5.8796433902246115,0.2879646855109302
73,0.055013783780907065,0.059798947420367086,0.05918420724149241,0.060230681177131984,0.05307029486357009,73,Train,0.05745958289669373,0.00321612048661298,5.745958289669373,0.321612048661298
84,0.05785117239662694,0.056174456856275035,0.054016017652381274,0.054201850338213974,0.04947338856429766,84,Train,0.05434337716155897,0.0031425094783865577,5.4343377161558974,0.31425094783865576
96,0.057610310564856014,0.053732532198441284,0.05457650514468696,0.057093502036683855,0.048446513503331685,96,Train,0.054291872689599965,0.003654560793255635,5.429187268959996,0.3654560793255635
108,0.05197605424878151,0.05330183471597612,0.0527808059878767,0.05355766941625527,0.048850006147985944,108,Train,0.05209327410337511,0.0019111711071805797,5.209327410337511,0.19111711071805795
119,0.05012040247334365,0.054900144418861,0.04843351538538704,0.05114650649410006,0.047353151898606435,119,Train,0.05039074413405964,0.0029170474477823996,5.039074413405964,0.29170474477823993
131,0.04846611095743642,0.051580622323162226,0.04966477889448049,0.05320642500378795,0.04906936228240877,131,Train,0.05039745989225517,0.0019570980908939902,5.039745989225517,0.19570980908939903
143,0.05036187094674062,0.05482256671067859,0.05358189454820096,0.04811238701257773,0.04956524015646711,143,Train,0.051288791874933,0.002813594020236368,5.1288791874933,0.2813594020236368
154,0.04846643255734164,0.054084290365282096,0.048160521755563075,0.0485180980635526,0.04947195137277782,154,Train,0.04974025882290345,0.002477623781339434,4.974025882290345,0.24776237813394342
166,0.045497569851348604,0.05195425907912217,0.049476686147003776,0.04737146934846825,0.04626423898603526,166,Train,0.048112844682395614,0.0026183568777117844,4.8112844682395615,0.26183568777117844
178,0.04552218182453116,0.04858836657610917,0.046478932485061186,0.04686463122622468,0.04501639717676489,178,Train,0.04649410185773822,0.001383085907356395,4.649410185773822,0.1383085907356395
190,0.04451438194978864,0.048061487157180935,0.045655744043303845,0.04680881691408008,0.04232828840484343,190,Train,0.045473743693839386,0.002198080116470774,4.547374369383938,0.2198080116470774
201,0.041637138177165314,0.0485381596643469,0.04431098024042393,0.04682855061416798,0.04438360574045784,201,Train,0.04513968688731239,0.0026423540062940165,4.5139686887312385,0.26423540062940165
213,0.0427268515616787,0.045110711832862915,0.04441542381363124,0.045572126929361245,0.04393665802116506,213,Train,0.044352354431739835,0.0011047614818441162,4.435235443173983,0.11047614818441162
225,0.04464181833878804,0.04559822624065048,0.046773506628052075,0.044412711418772025,0.04314134350497986,225,Train,0.04491352122624849,0.0013595599885394445,4.491352122624849,0.13595599885394444
236,0.04206477480745585,0.04406644074979977,0.04441980250531868,0.04478953934269804,0.045381089549040236,236,Train,0.04414432939086251,0.0012601955119510052,4.414432939086251,0.12601955119510053
248,0.04290442776513157,0.04630660029120439,0.042720075216409525,0.04503596761661277,0.04221042195015802,248,Train,0.04383549856790325,0.0017535254325347748,4.383549856790325,0.1753525432534775
260,0.04185821365891296,0.045885126140370894,0.04363924614623915,0.04523007645035616,0.04360444955200199,260,Train,0.044043422389576224,0.0015756913839668671,4.404342238957622,0.1575691383966867
