Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.007097857441454466
P_charged_centers,1.0,1.0,0.005440760528569601
cLogP,9.3028,9.3028,-0.1081151166226877
cLogP,9.784,9.784,-0.07771433147603625
cLogP,12.515,12.515,0.13213484012854387
cLogP,6.12,6.12,-0.10349829622938284
cLogP,11.8502,11.8502,-0.07465730172464108
cLogP,12.73,12.73,0.23500931613973008
Double_bonds,1.0,1.0,-0.002618590110209549
Double_bonds,2.0,2.0,0.003556043042082662
Double_bonds,0.0,0.0,-0.0010664273720004146
Zeta,-7.193333333,-7.193333333,0.00454435886703669
Zeta,-5.036666667,-5.036666667,0.010200680107543594
Zeta,-0.522666667,-0.522666667,-0.008419322410871033
Zeta,-4.42,-4.42,0.0029899606752104404
Zeta,-3.686666667,-3.686666667,0.004018014053097377
Zeta,-2.553333333,-2.553333333,0.0015801979678839405
Zeta,-1.06,-1.06,0.000265711885382632
Zeta,1.177333333,1.177333333,0.0027224714864542625
Zeta,-0.068333333,-0.068333333,-0.002685618747332072
Zeta,-24.26666667,-24.26666667,-0.003247289498141199
Zeta,-14.43333333,-14.43333333,0.001736302948378355
Zeta,-1.853333333,-1.853333333,-0.005045290741478781
Zeta,-9.85,-9.85,0.0026458763409840445
Zeta,-4.376666667,-4.376666667,-0.0030156895265068427
Zeta,-1.413,-1.413,-0.00511043524159887
Zeta,-4.306666667,-4.306666667,-0.005079338388155006
Zeta,-1.85,-1.85,8.67130322577882e-05
Zeta,-4.253333333,-4.253333333,-0.004503599553174318
Zeta,0.728366667,0.728366667,0.002948163685636088
Zeta,-0.417,-0.417,-9.798163819801085e-05
Zeta,-2.663333333,-2.663333333,-0.0010666782750608668
Zeta,-25.4,-25.4,-0.004785473508362865
Zeta,-17.4,-17.4,-0.007729130429179186
Zeta,-8.583333333,-8.583333333,-0.009769523757790404
Zeta,-6.4,-6.4,0.0007132778264977945
Zeta,-3.806666667,-3.806666667,0.001960595531157777
Zeta,-1.361666667,-1.361666667,-0.009792236055071816
Zeta,-5.183333333,-5.183333333,-0.0005894306649440795
Zeta,-2.506666667,-2.506666667,-0.024326571640421863
Zeta,-2.166666667,-2.166666667,-0.004298484384082431
Zeta,0.091,0.091,0.00428332669609746
Zeta,-0.125666667,-0.125666667,0.0004056641696220775
Zeta,0.407333333,0.407333333,0.006378069585302201
Zeta,-25.33333333,-25.33333333,-0.004517619566884668
Zeta,-6.63,-6.63,-0.0007055960677012003
Zeta,-11.83333333,-11.83333333,-0.008821234160261805
Zeta,-4.81,-4.81,-0.002515299227045875
Zeta,-3.45,-3.45,-0.004453234230843705
Zeta,-0.677333333,-0.677333333,0.0042307685881507184
Zeta,1.363333333,1.363333333,0.005234995044097386
Zeta,-1.420666667,-1.420666667,-0.009248989951423444
Zeta,-2.366666667,-2.366666667,-0.009884760883843186
Zeta,-1.566666667,-1.566666667,-0.0062073235784267985
Zeta,-2.063333333,-2.063333333,-0.00707956847357835
Zeta,-0.186,-0.186,0.008401253437975575
Zeta,-22.66666667,-22.66666667,-0.006631040342074032
Zeta,-0.437,-0.437,-0.0031245812432705265
Zeta,-2.24,-2.24,-0.0029043124061408176
Zeta,-19.73333333,-19.73333333,-0.0002875415813523725
Zeta,-3.413333333,-3.413333333,-0.004799839085021235
Zeta,-2.423333333,-2.423333333,-0.007131142264013782
Zeta,-25.56666667,-25.56666667,0.004539642023455461
Zeta,-15.7,-15.7,0.007312089938953152
Zeta,-4.87,-4.87,-0.001276511239936419
Zeta,-28.26666667,-28.26666667,-0.0015294065828238515
Zeta,-17.83333333,-17.83333333,-9.749372173147392e-05
Zeta,-5.81,-5.81,-0.004230821237170846
Zeta,-6.776666667,-6.776666667,-0.0032721749208739544
Zeta,-5.44,-5.44,-0.0022030053116907948
Zeta,-4.47,-4.47,-0.0045118547156119595
Zeta,-1.836666667,-1.836666667,-0.006491183833196639
Zeta,-1.497333333,-1.497333333,-0.00807982374470434
Zeta,-1.007333333,-1.007333333,-0.009752647615000547
Zeta,-1.843333333,-1.843333333,-0.006666182738395633
Zeta,-0.593366667,-0.593366667,-0.01273248731104588
Zeta,-7.61,-7.61,-0.003444847280004894
Zeta,-4.72,-4.72,-0.0043619823912038344
Zeta,-3.62,-3.62,-0.004095241319088185
Zeta,-4.233333333,-4.233333333,-0.0013578452682040728
Zeta,-2.0,-2.0,-0.006212331621130693
Zeta,-2.613333333,-2.613333333,-0.007748371538652508
Zeta,-0.015666667,-0.015666667,-0.00342569366003472
Zeta,-1.543333333,-1.543333333,-0.003141354970014738
Zeta,-1.906666667,-1.906666667,-0.0015078728071763596
Zeta,-1.441,-1.441,-0.008090296286160387
Zeta,-4.113333333,-4.113333333,-0.004885910860954959
Zeta,-3.46,-3.46,-0.009718554111241916
Zeta,-5.52,-5.52,-0.005431686691242884
Zeta,-2.886666667,-2.886666667,-0.003458262705135076
Zeta,-2.153333333,-2.153333333,-0.004406108905533862
Zeta,-1.356666667,-1.356666667,-0.005412562227432802
Zeta,0.867666667,0.867666667,0.0007714210421691799
Zeta,-1.916666667,-1.916666667,-0.0063827645923426116
Zeta,-0.810333333,-0.810333333,-0.006485355605936423
Zeta,-2.876666667,-2.876666667,-0.013217304809354749
Zeta,-2.14,-2.14,-0.0067877151812847855
Zeta,-0.342,-0.342,-0.008469017353759526
Zeta,-2.2,-2.2,-0.008010683638913734
Zeta,-3.503333333,-3.503333333,-0.00936823948814399
Zeta,-2.013333333,-2.013333333,-0.008921019637470832
Zeta,-3.336666667,-3.336666667,-0.008956443687289092
Zeta,-6.496666667,-6.496666667,-0.005269215320405808
Zeta,0.9383,0.9383,0.009136019761856875
Zeta,0.4627,0.4627,0.0018787715177137681
Zeta,-20.96666667,-20.96666667,-0.0009014154070889198
Zeta,-1.013333333,-1.013333333,-0.006462532223367802
Zeta,-0.812553333,-0.812553333,0.00018367189733940975
Zeta,-1.636666667,-1.636666667,-0.006553560324886613
Zeta,-0.022666667,-0.022666667,-0.00838681907721546
Zeta,-3.43,-3.43,-0.0062039959906408405
Zeta,-13.4,-13.4,0.0006319338468484366
Zeta,-1.985333333,-1.985333333,-0.008199628285127481
Zeta,-3.243333333,-3.243333333,-0.009978056720330001
Zeta,-1.304,-1.304,-0.008664166538729248
Zeta,-0.888,-0.888,-0.0032705306004796875
Zeta,-0.417666667,-0.417666667,0.003361784481532447
Zeta,-6.72,-6.72,0.004881939302681045
Zeta,-5.936666667,-5.936666667,0.0002743824760843173
Zeta,-3.736666667,-3.736666667,-0.0027305822844017214
Zeta,-7.57,-7.57,0.010725147067392856
Zeta,-4.593333333,-4.593333333,-1.1736496240914284e-05
Zeta,-1.266666667,-1.266666667,-0.0062116092618283315
Zeta,-16.4,-16.4,0.004137018282877485
Zeta,-1.483333333,-1.483333333,-0.005966729666736563
Zeta,-0.622,-0.622,0.0034743324955842504
Zeta,-8.473333333,-8.473333333,-0.0021986376589232205
Zeta,-5.833333333,-5.833333333,-0.0030619894220310618
Zeta,-6.46,-6.46,-0.009766848459003507
Zeta,-1.485333333,-1.485333333,-0.006465437618268826
Zeta,-0.415666667,-0.415666667,-0.011162198189496007
Zeta,-2.8,-2.8,-0.0058492610648389195
Zeta,-1.42,-1.42,-0.007952596548487444
Zeta,-0.845333333,-0.845333333,-0.011661579918188088
Zeta,-1.69,-1.69,-0.006178953725113159
Zeta,-3.313333333,-3.313333333,-0.011802992405754489
Zeta,-1.398,-1.398,-0.005549204373617794
Zeta,-0.940666667,-0.940666667,-0.005009695818630606
Zeta,8.696666667,8.696666667,0.004467711887612632
Zeta,-0.939,-0.939,-0.007482185680689548
Zeta,-0.976,-0.976,-0.003953018039780807
Zeta,-1.733333333,-1.733333333,-0.005801703822802649
Zeta,-1.54,-1.54,0.0011766753410474566
Zeta,-1.195666667,-1.195666667,0.0031914316870208883
Zeta,-1.7,-1.7,-0.0051809368674484374
Zeta,-0.988333333,-0.988333333,-0.003910396143940589
Zeta,-2.643333333,-2.643333333,-0.006974930200423746
Zeta,-0.603333333,-0.603333333,9.159911597935493e-05
Zeta,-0.511666667,-0.511666667,-0.0026088670645504322
Zeta,-1.116666667,-1.116666667,0.0009487804078956681
Zeta,2.933333333,2.933333333,0.012659105495332716
Zeta,0.520333333,0.520333333,0.008719758744104942
Zeta,-2.67,-2.67,-0.015252538743418207
Zeta,-1.596666667,-1.596666667,-0.006497844987622173
Zeta,-2.373333333,-2.373333333,-0.004414398765656843
Zeta,-1.247666667,-1.247666667,-0.010751338437564527
Zeta,-1.014,-1.014,-0.006273590990093245
Zeta,-3.99,-3.99,0.0006674834485484949
Zeta,-10.79333333,-10.79333333,-0.003519610864457589
Zeta,-1.503333333,-1.503333333,-0.005014263615762295
Zeta,-1.180333333,-1.180333333,-0.0028046011954135936
Zeta,1.269666667,1.269666667,0.0032630139937290382
Zeta,-1.149666667,-1.149666667,-0.0029160503174402424
Zeta,-1.219666667,-1.219666667,0.0005337632758579478
Zeta,-2.273333333,-2.273333333,-0.005660510929568196
Zeta,-1.220666667,-1.220666667,-0.004542752905347607
Zeta,-1.876666667,-1.876666667,-0.005583724634295138
Zeta,-1.019766667,-1.019766667,-0.010449835686490539
Zeta,-1.61,-1.61,-0.005053646179756971
Zeta,-1.693333333,-1.693333333,-0.022412307922643603
Zeta,-0.879,-0.879,-0.008454609159185743
Zeta,-0.790333333,-0.790333333,-0.008731085800743811
Zeta,-1.506666667,-1.506666667,-0.02448576436836402
Zeta,0.606333333,0.606333333,-0.0036179053449865114
Zeta,-1.317,-1.317,-0.0019863689626749116
Zeta,-0.951333333,-0.951333333,0.0017323276522088085
Zeta,-3.106666667,-3.106666667,-0.009032543732160673
Zeta,-31.73333333,-31.73333333,0.00018878820177060175
Zeta,-2.386666667,-2.386666667,-0.008282041780597276
Zeta,-1.746666667,-1.746666667,-0.005980998405724965
Zeta,-1.683333333,-1.683333333,-0.0043413298204255085
Zeta,-1.856666667,-1.856666667,-0.005145415960989135
Zeta,-1.74,-1.74,-0.005059983331290577
Zeta,-1.833333333,-1.833333333,-0.012907083262891427
Zeta,-1.422666667,-1.422666667,-0.00393597166234953
Zeta,-1.713333333,-1.713333333,-0.008605622158540598
Zeta,-2.203333333,-2.203333333,-0.00474078969869078
Zeta,-1.184333333,-1.184333333,8.018761278294015e-05
Zeta,-7.436666667,-7.436666667,0.016173188791795978
Zeta,-3.523333333,-3.523333333,-0.0010205695050407378
Zeta,-3.396666667,-3.396666667,0.0005717388908715251
Zeta,-4.23,-4.23,0.0031862964373159637
Zeta,-1.803333333,-1.803333333,-0.0006244720012622777
Zeta,-2.356666667,-2.356666667,-0.0018287693748486986
Zeta,-5.31,-5.31,-0.0019593640703209525
Zeta,0.721666667,0.721666667,0.014537264232643034
Zeta,-0.501666667,-0.501666667,-0.002412008248646673
Zeta,-24.63333333,-24.63333333,-0.0028180080288400444
Zeta,-6.11,-6.11,4.7919266247310176e-05
Zeta,-0.955,-0.955,0.00033168615130547914
Zeta,-11.77666667,-11.77666667,0.015414896920328639
Zeta,-3.553333333,-3.553333333,0.006383424764934756
Zeta,-1.593,-1.593,-0.011490402953709407
Zeta,0.269333333,0.269333333,0.0020525806265535374
Zeta,-3.663333333,-3.663333333,-0.006194235064982119
Zeta,0.073,0.073,0.010816693204623785
Zeta,-1.161666667,-1.161666667,-0.005848207528370872
