group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-1.1769,0.756,-3.3442,0.9904,False
DT,MLP,1.8842,0.1487,-0.2831,4.0515,False
DT,MLR,4.3587,0.0,2.1914,6.526,True
DT,PLS,4.3491,0.0,2.1818,6.5164,True
DT,RF,-0.8457,0.9544,-3.0131,1.3216,False
DT,XGB,-0.7202,0.9829,-2.8875,1.4472,False
DT,kNN,5.1445,0.0,2.9771,7.3118,True
DT,lasso,4.4421,0.0,2.2748,6.6095,True
LGBM,MLP,3.0611,0.0004,0.8938,5.2284,True
LGBM,MLR,5.5356,0.0,3.3683,7.7029,True
LGBM,PLS,5.526,0.0,3.3587,7.6933,True
LGBM,RF,0.3311,0.9999,-1.8362,2.4985,False
LGBM,XGB,0.4567,0.9993,-1.7106,2.6241,False
LGBM,kNN,6.3213,0.0,4.154,8.4887,True
LGBM,lasso,5.619,0.0,3.4517,7.7863,True
MLP,MLR,2.4745,0.0119,0.3072,4.6418,True
MLP,PLS,2.4649,0.0125,0.2976,4.6322,True
MLP,RF,-2.73,0.003,-4.8973,-0.5626,True
MLP,XGB,-2.6044,0.0061,-4.7717,-0.437,True
MLP,kNN,3.2602,0.0001,1.0929,5.4276,True
MLP,lasso,2.5579,0.0078,0.3906,4.7252,True
MLR,PLS,-0.0096,1.0,-2.1769,2.1577,False
MLR,RF,-5.2044,0.0,-7.3718,-3.0371,True
MLR,XGB,-5.0789,0.0,-7.2462,-2.9115,True
MLR,kNN,0.7858,0.9706,-1.3816,2.9531,False
MLR,lasso,0.0834,1.0,-2.0839,2.2508,False
PLS,RF,-5.1948,0.0,-7.3622,-3.0275,True
PLS,XGB,-5.0692,0.0,-7.2366,-2.9019,True
PLS,kNN,0.7954,0.9683,-1.372,2.9627,False
PLS,lasso,0.093,1.0,-2.0743,2.2604,False
RF,XGB,0.1256,1.0,-2.0417,2.2929,False
RF,kNN,5.9902,0.0,3.8229,8.1575,True
RF,lasso,5.2879,0.0,3.1205,7.4552,True
XGB,kNN,5.8646,0.0,3.6973,8.0319,True
XGB,lasso,5.1623,0.0,2.9949,7.3296,True
kNN,lasso,-0.7023,0.9855,-2.8697,1.465,False
