Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.04263702801871503
P_charged_centers,1.0,1.0,0.027872886583159694
Hbond_A,10.0,10.0,-0.07729244567470507
Hbond_A,9.0,9.0,-0.08202317809705328
Hbond_A,4.0,4.0,0.15081042073837175
Hbond_A,8.0,8.0,-0.05979735527612216
Hbond_A,0.0,0.0,0.11820659562382561
Double_bonds,1.0,1.0,-0.020703148134687956
Double_bonds,2.0,2.0,0.01804414384492794
Double_bonds,0.0,0.0,-0.01056977062952374
NP_ratio,4.0,4.0,-0.01764652305549722
NP_ratio,8.0,8.0,-0.009016316993569615
NP_ratio,12.0,12.0,0.026662840049066848
PEG_(Chol+PEG),0.199600798,0.199600798,0.012863565126642378
PEG_(Chol+PEG),0.99009901,0.99009901,0.05853547722626926
PEG_(Chol+PEG),9.090909091,9.090909091,-0.0713990423529116
(IL+HL),20.0,20.0,-0.008554222399298397
(IL+HL),40.0,40.0,0.026856626477554095
(IL+HL),60.0,60.0,-0.007362667257718223
(IL+HL),80.0,80.0,-0.010939736820537489
HL_(IL+HL),0.497512438,0.497512438,-0.03460395722997229
HL_(IL+HL),0.99009901,0.99009901,-0.03797250800806054
HL_(IL+HL),1.960784314,1.960784314,-0.025221013853069837
HL_(IL+HL),9.090909091,9.090909091,0.05707208108847407
HL_(IL+HL),50.0,50.0,0.04072539800262862
