P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL)
0,1,9.3028,3,10,1,4,0.199600798,20,0.497512438
0,1,9.3028,3,10,1,8,0.199600798,20,0.497512438
0,1,9.3028,3,10,1,12,0.199600798,20,0.497512438
0,1,9.3028,3,10,1,4,0.199600798,40,0.497512438
0,1,9.3028,3,10,1,8,0.199600798,40,0.497512438
0,1,9.3028,3,10,1,12,0.199600798,40,0.497512438
0,1,9.3028,3,10,1,4,0.199600798,60,0.497512438
0,1,9.3028,3,10,1,8,0.199600798,60,0.497512438
0,1,9.3028,3,10,1,12,0.199600798,60,0.497512438
0,1,9.3028,3,10,1,4,0.199600798,80,0.497512438
0,1,9.3028,3,10,1,8,0.199600798,80,0.497512438
0,1,9.3028,3,10,1,12,0.199600798,80,0.497512438
0,1,9.3028,3,10,1,4,0.199600798,20,0.99009901
0,1,9.3028,3,10,1,8,0.199600798,20,0.99009901
0,1,9.3028,3,10,1,12,0.199600798,20,0.99009901
0,1,9.3028,3,10,1,4,0.199600798,40,0.99009901
0,1,9.3028,3,10,1,8,0.199600798,40,0.99009901
0,1,9.3028,3,10,1,12,0.199600798,40,0.99009901
0,1,9.3028,3,10,1,4,0.199600798,60,0.99009901
0,1,9.3028,3,10,1,8,0.199600798,60,0.99009901
0,1,9.3028,3,10,1,12,0.199600798,60,0.99009901
0,1,9.3028,3,10,1,4,0.199600798,80,0.99009901
0,1,9.3028,3,10,1,8,0.199600798,80,0.99009901
0,1,9.3028,3,10,1,12,0.199600798,80,0.99009901
0,1,9.3028,3,10,1,4,0.199600798,20,1.960784314
0,1,9.3028,3,10,1,8,0.199600798,20,1.960784314
0,1,9.3028,3,10,1,12,0.199600798,20,1.960784314
0,1,9.3028,3,10,1,4,0.199600798,40,1.960784314
0,1,9.3028,3,10,1,8,0.199600798,40,1.960784314
0,1,9.3028,3,10,1,12,0.199600798,40,1.960784314
0,1,9.3028,3,10,1,4,0.199600798,60,1.960784314
0,1,9.3028,3,10,1,8,0.199600798,60,1.960784314
