group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.378,0.9962,-1.8019,1.0458,False
DT,MLP,1.4715,0.0365,0.0476,2.8953,True
DT,MLR,4.7343,0.0,3.3105,6.1582,True
DT,PLS,4.6969,0.0,3.2731,6.1208,True
DT,RF,0.2288,0.9999,-1.1951,1.6526,False
DT,XGB,0.0232,1.0,-1.4007,1.447,False
DT,kNN,2.2675,0.0,0.8437,3.6914,True
DT,lasso,4.2151,0.0,2.7912,5.6389,True
LGBM,MLP,1.8495,0.0018,0.4256,3.2734,True
LGBM,MLR,5.1124,0.0,3.6885,6.5363,True
LGBM,PLS,5.075,0.0,3.6511,6.4988,True
LGBM,RF,0.6068,0.925,-0.817,2.0307,False
LGBM,XGB,0.4012,0.9943,-1.0226,1.8251,False
LGBM,kNN,2.6456,0.0,1.2217,4.0694,True
LGBM,lasso,4.5931,0.0,3.1692,6.017,True
MLP,MLR,3.2629,0.0,1.839,4.6868,True
MLP,PLS,3.2255,0.0,1.8016,4.6493,True
MLP,RF,-1.2427,0.145,-2.6665,0.1812,False
MLP,XGB,-1.4483,0.0426,-2.8721,-0.0244,True
MLP,kNN,0.7961,0.7251,-0.6278,2.2199,False
MLP,lasso,2.7436,0.0,1.3197,4.1675,True
MLR,PLS,-0.0374,1.0,-1.4613,1.3864,False
MLR,RF,-4.5056,0.0,-5.9294,-3.0817,True
MLR,XGB,-4.7112,0.0,-6.135,-3.2873,True
MLR,kNN,-2.4668,0.0,-3.8907,-1.043,True
MLR,lasso,-0.5193,0.9695,-1.9431,0.9046,False
PLS,RF,-4.4682,0.0,-5.892,-3.0443,True
PLS,XGB,-4.6737,0.0,-6.0976,-3.2499,True
PLS,kNN,-2.4294,0.0,-3.8533,-1.0055,True
PLS,lasso,-0.4819,0.9809,-1.9057,0.942,False
RF,XGB,-0.2056,1.0,-1.6295,1.2183,False
RF,kNN,2.0388,0.0003,0.6149,3.4626,True
RF,lasso,3.9863,0.0,2.5624,5.4102,True
XGB,kNN,2.2443,0.0,0.8205,3.6682,True
XGB,lasso,4.1919,0.0,2.768,5.6157,True
kNN,lasso,1.9475,0.0007,0.5237,3.3714,True
