group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-1.3151,0.8709,-4.1007,1.4705,False
DT,MLP,0.9759,0.9759,-1.8096,3.7615,False
DT,MLR,4.0018,0.0003,1.2162,6.7873,True
DT,PLS,3.9892,0.0003,1.2036,6.7748,True
DT,RF,-0.7396,0.9961,-3.5252,2.0459,False
DT,XGB,-0.9341,0.9817,-3.7197,1.8514,False
DT,kNN,3.8094,0.0008,1.0238,6.5949,True
DT,lasso,4.0873,0.0002,1.3017,6.8729,True
LGBM,MLP,2.291,0.2069,-0.4946,5.0766,False
LGBM,MLR,5.3168,0.0,2.5313,8.1024,True
LGBM,PLS,5.3043,0.0,2.5187,8.0899,True
LGBM,RF,0.5754,0.9994,-2.2101,3.361,False
LGBM,XGB,0.3809,1.0,-2.4046,3.1665,False
LGBM,kNN,5.1244,0.0,2.3389,7.91,True
LGBM,lasso,5.4024,0.0,2.6168,8.1879,True
MLP,MLR,3.0258,0.0216,0.2402,5.8114,True
MLP,PLS,3.0133,0.0226,0.2277,5.7989,True
MLP,RF,-1.7156,0.6046,-4.5012,1.07,False
MLP,XGB,-1.9101,0.453,-4.6956,0.8755,False
MLP,kNN,2.8334,0.0426,0.0478,5.619,True
MLP,lasso,3.1113,0.0157,0.3258,5.8969,True
MLR,PLS,-0.0125,1.0,-2.7981,2.773,False
MLR,RF,-4.7414,0.0,-7.527,-1.9558,True
MLR,XGB,-4.9359,0.0,-7.7215,-2.1503,True
MLR,kNN,-0.1924,1.0,-2.978,2.5932,False
MLR,lasso,0.0855,1.0,-2.7,2.8711,False
PLS,RF,-4.7289,0.0,-7.5144,-1.9433,True
PLS,XGB,-4.9234,0.0,-7.7089,-2.1378,True
PLS,kNN,-0.1799,1.0,-2.9654,2.6057,False
PLS,lasso,0.0981,1.0,-2.6875,2.8836,False
RF,XGB,-0.1945,1.0,-2.9801,2.5911,False
RF,kNN,4.549,0.0,1.7634,7.3346,True
RF,lasso,4.8269,0.0,2.0414,7.6125,True
XGB,kNN,4.7435,0.0,1.9579,7.5291,True
XGB,lasso,5.0214,0.0,2.2358,7.807,True
kNN,lasso,0.2779,1.0,-2.5076,3.0635,False
