group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-2.393,0.7574,-6.8149,2.0289,False
DT,MLP,-0.7142,0.9999,-5.1361,3.7077,False
DT,MLR,4.7054,0.0271,0.2835,9.1273,True
DT,PLS,4.6934,0.0278,0.2715,9.1153,True
DT,RF,-1.6032,0.9701,-6.025,2.8187,False
DT,XGB,-1.6774,0.9608,-6.0993,2.7445,False
DT,kNN,3.7783,0.1652,-0.6436,8.2002,False
DT,lasso,5.0431,0.0122,0.6212,9.465,True
LGBM,MLP,1.6789,0.9606,-2.743,6.1008,False
LGBM,MLR,7.0984,0.0,2.6765,11.5203,True
LGBM,PLS,7.0865,0.0,2.6646,11.5084,True
LGBM,RF,0.7899,0.9998,-3.632,5.2118,False
LGBM,XGB,0.7156,0.9999,-3.7063,5.1375,False
LGBM,kNN,6.1713,0.0005,1.7494,10.5932,True
LGBM,lasso,7.4361,0.0,3.0142,11.858,True
MLP,MLR,5.4195,0.0046,0.9976,9.8414,True
MLP,PLS,5.4076,0.0048,0.9857,9.8295,True
MLP,RF,-0.889,0.9995,-5.3109,3.5329,False
MLP,XGB,-0.9632,0.999,-5.3851,3.4587,False
MLP,kNN,4.4925,0.0431,0.0706,8.9144,True
MLP,lasso,5.7573,0.0018,1.3354,10.1792,True
MLR,PLS,-0.0119,1.0,-4.4338,4.41,False
MLR,RF,-6.3085,0.0003,-10.7304,-1.8866,True
MLR,XGB,-6.3827,0.0003,-10.8046,-1.9608,True
MLR,kNN,-0.927,0.9993,-5.3489,3.4949,False
MLR,lasso,0.3378,1.0,-4.0841,4.7597,False
PLS,RF,-6.2966,0.0004,-10.7185,-1.8747,True
PLS,XGB,-6.3708,0.0003,-10.7927,-1.9489,True
PLS,kNN,-0.9151,0.9993,-5.337,3.5068,False
PLS,lasso,0.3497,1.0,-4.0722,4.7716,False
RF,XGB,-0.0742,1.0,-4.4961,4.3477,False
RF,kNN,5.3815,0.0051,0.9596,9.8034,True
RF,lasso,6.6463,0.0001,2.2244,11.0682,True
XGB,kNN,5.4557,0.0042,1.0338,9.8776,True
XGB,lasso,6.7205,0.0001,2.2986,11.1424,True
kNN,lasso,1.2648,0.9935,-3.1571,5.6867,False
