Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.048445080930822434
P_charged_centers,1.0,1.0,0.019838046210787438
cLogP,9.3028,9.3028,-0.04527791239861235
cLogP,9.784,9.784,0.039582397876841355
cLogP,12.515,12.515,0.032051244970257464
cLogP,6.12,6.12,-0.04290925468448718
Hbond_A,10.0,10.0,0.0036857881611281154
Hbond_A,9.0,9.0,0.007204876657789776
Hbond_A,4.0,4.0,-0.0014320276817652612
Hbond_A,8.0,8.0,-0.003974170602691899
NP_ratio,4.0,4.0,0.013317890312511496
NP_ratio,8.0,8.0,-0.0037218584372254123
NP_ratio,12.0,12.0,-0.009596031875286055
PEG_(Chol+PEG),0.199600798,0.199600798,0.08317661917848986
PEG_(Chol+PEG),0.99009901,0.99009901,0.04670278961122746
PEG_(Chol+PEG),9.090909091,9.090909091,-0.12987940878971724
(IL+HL),20.0,20.0,-0.0243838008389927
(IL+HL),40.0,40.0,0.010509795741246816
(IL+HL),60.0,60.0,0.02547228151973412
(IL+HL),80.0,80.0,-0.011598276421988343
HL_(IL+HL),0.497512438,0.497512438,-0.061245551748873125
HL_(IL+HL),0.99009901,0.99009901,-0.061455878836128165
HL_(IL+HL),1.960784314,1.960784314,-0.041346106295452344
HL_(IL+HL),9.090909091,9.090909091,0.03301253095425679
HL_(IL+HL),50.0,50.0,0.13103500592619688
