Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.0020562660200569957
P_charged_centers,1.0,1.0,0.0018161227290278631
N_charged_centers,1.0,1.0,-0.09354500647883492
N_charged_centers,0.0,0.0,0.17549216327942918
Double_bonds,1.0,1.0,0.002994378763324971
Double_bonds,2.0,2.0,-0.019203840928411774
Double_bonds,0.0,0.0,0.019031538114504375
NP_ratio,4.0,4.0,-0.011965864876591431
NP_ratio,8.0,8.0,-0.009156511338726728
NP_ratio,12.0,12.0,0.021400627661809033
PEG_(Chol+PEG),0.199600798,0.199600798,-0.0029346918359933307
PEG_(Chol+PEG),0.99009901,0.99009901,0.028019901180336905
PEG_(Chol+PEG),9.090909091,9.090909091,-0.023693332088225716
(IL+HL),20.0,20.0,-0.03866350760833666
(IL+HL),40.0,40.0,-0.009902494313463555
(IL+HL),60.0,60.0,0.022856824194882053
(IL+HL),80.0,80.0,0.0266381562802869
HL_(IL+HL),0.497512438,0.497512438,-0.05004535198151351
HL_(IL+HL),0.99009901,0.99009901,-0.05469808259686476
HL_(IL+HL),1.960784314,1.960784314,-0.047978660748806946
HL_(IL+HL),9.090909091,9.090909091,0.027407954449357355
HL_(IL+HL),50.0,50.0,0.12720898969810385
