Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),Lipid_NA_ratio,RLU_HEK293
1,18PG,0,1,9.3028,3,10,36,1,440.1666667,0.292666667,-7.193333333,4,0.199600798,20,0.497512438,26.6073836,9.46
2,18PG,0,1,9.3028,3,10,36,1,320.9666667,0.187666667,-5.036666667,8,0.199600798,20,0.497512438,53.21476721,8.621
3,18PG,0,1,9.3028,3,10,36,1,205.6333333,0.408666667,-0.522666667,12,0.199600798,20,0.497512438,79.82215081,8.584
4,18PG,0,1,9.3028,3,10,36,1,236.0666667,0.359666667,-4.42,4,0.199600798,40,0.497512438,14.8225851,9.102
5,18PG,0,1,9.3028,3,10,36,1,188.6,0.308666667,-3.686666667,8,0.199600798,40,0.497512438,29.6451702,11.098
6,18PG,0,1,9.3028,3,10,36,1,248.3,0.374333333,-2.553333333,12,0.199600798,40,0.497512438,44.46775531,9.509
7,18PG,0,1,9.3028,3,10,36,1,221.0666667,0.257,-1.06,4,0.199600798,60,0.497512438,10.89431893,9.866
8,18PG,0,1,9.3028,3,10,36,1,206.6333333,0.367333333,1.177333333,8,0.199600798,60,0.497512438,21.78863787,10.057
9,18PG,0,1,9.3028,3,10,36,1,239.3,0.301,-0.068333333,12,0.199600798,60,0.497512438,32.6829568,10.787
10,18PG,0,1,9.3028,3,10,36,1,228.7,0.5935,-24.26666667,4,0.199600798,80,0.497512438,8.93018585,4.29
11,18PG,0,1,9.3028,3,10,36,1,195.4666667,0.445,-14.43333333,8,0.199600798,80,0.497512438,17.8603717,9.986
12,18PG,0,1,9.3028,3,10,36,1,211.95,0.466166667,-1.853333333,12,0.199600798,80,0.497512438,26.79055755,2.674
13,18PG,0,1,9.3028,3,10,36,1,395.5333333,0.062333333,-9.85,4,0.199600798,20,0.99009901,26.74781895,5.283
