Feature,ARPE19_Feature_Value,ARPE19_Norm_Feature_Value
P_charged_centers,1.0,1.0
N_charged_centers,0.0,0.0
cLogP,9.784,0.5729476153244722
Hbond_D,2.0,0.6666666666666666
Hbond_A,9.0,0.8333333333333334
Double_bonds,2.0,1.0
18PG,1.0,1.0
DOPE,0.0,0.0
DSPC,0.0,0.0
DOTAP,0.0,0.0
Size,1312.5,0.6666666666666666
PDI,0.31,0.264653640946591
Zeta,-2.356666667,0.4249793559062775
NP_ratio,4.0,0.0
PEG_(Chol+PEG),0.99009901,0.08890684992020219
(IL+HL),20.0,0.0
HL_(IL+HL),50.0,1.0
