,0,1,2,3,4,Train_size,Score_Type,Mean_MAE,sd,Percent_Error,Percent_SD
4,0.08930419470018676,0.06429868931748275,0.184170978864556,0.055416712434545067,0.05906088296540387,4,Train,0.0904502916564349,0.05404034073023432,9.04502916564349,5.404034073023432
21,0.12102282193738441,0.1319297744739259,0.14355827332522927,0.10717627414883087,0.12013810969573294,21,Train,0.12476505071622068,0.013686639499286895,12.476505071622068,1.3686639499286894
39,0.08016897610698055,0.08334878003789652,0.08699529019138776,0.07836877594812813,0.07576822367573477,39,Train,0.08093000919202555,0.004370961073048673,8.093000919202554,0.43709610730486725
56,0.06528986037116544,0.06492566374856577,0.0721656387478644,0.05982813439108505,0.0717581838588477,56,Train,0.06679349622350567,0.005190713414502057,6.679349622350567,0.5190713414502057
74,0.061172298879139206,0.057789792746860066,0.057339329711150536,0.053980199977668765,0.05628308101902202,74,Train,0.05731294046676812,0.0026120155768190557,5.731294046676812,0.26120155768190556
92,0.05298652053838465,0.04931743115791134,0.05567961113390307,0.05001365668117354,0.05048074807779501,92,Train,0.051695593517833524,0.002621989040470437,5.169559351783352,0.26219890404704366
109,0.04767716000534341,0.045884788665303045,0.04904383937979774,0.04594360661463174,0.047144017621393516,109,Train,0.04713868245729389,0.0013153008538354985,4.7138682457293895,0.13153008538354985
127,0.04670664796469427,0.043581589274948346,0.04663359401242427,0.04433171755287989,0.045149669184204544,127,Train,0.04528064359783026,0.0013845905357341944,4.528064359783026,0.13845905357341945
144,0.044679193267834795,0.04223932556539874,0.0459922367139481,0.04194155803628341,0.04412291872576683,144,Train,0.04379504646184638,0.0017009223711899962,4.379504646184638,0.17009223711899962
162,0.04316403334391042,0.04035570415463842,0.04479232000003406,0.043757339971887875,0.04377484265713842,162,Train,0.043168848025521844,0.001678020793670357,4.316884802552185,0.1678020793670357
179,0.04307811533934856,0.0401065715248493,0.042592072754638596,0.04176364038172179,0.044185926576530817,179,Train,0.04234526531541781,0.001527747884896185,4.234526531541781,0.1527747884896185
