group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-1.49,0.9319,-5.0536,2.0737,False
DT,MLP,-0.2192,1.0,-3.7829,3.3444,False
DT,MLR,4.2041,0.0079,0.6404,7.7677,True
DT,PLS,4.2128,0.0076,0.6491,7.7765,True
DT,RF,-1.0863,0.9902,-4.65,2.4773,False
DT,XGB,-0.7845,0.999,-4.3482,2.7792,False
DT,kNN,1.6244,0.8919,-1.9393,5.1881,False
DT,lasso,4.0909,0.0112,0.5272,7.6546,True
LGBM,MLP,1.2707,0.9732,-2.293,4.8344,False
LGBM,MLR,5.694,0.0,2.1303,9.2577,True
LGBM,PLS,5.7028,0.0,2.1391,9.2664,True
LGBM,RF,0.4036,1.0,-3.1601,3.9673,False
LGBM,XGB,0.7055,0.9995,-2.8582,4.2692,False
LGBM,kNN,3.1144,0.1434,-0.4493,6.6781,False
LGBM,lasso,5.5808,0.0,2.0172,9.1445,True
MLP,MLR,4.4233,0.0038,0.8596,7.987,True
MLP,PLS,4.432,0.0037,0.8683,7.9957,True
MLP,RF,-0.8671,0.9979,-4.4308,2.6966,False
MLP,XGB,-0.5652,0.9999,-4.1289,2.9984,False
MLP,kNN,1.8437,0.8011,-1.72,5.4073,False
MLP,lasso,4.3101,0.0056,0.7464,7.8738,True
MLR,PLS,0.0087,1.0,-3.5549,3.5724,False
MLR,RF,-5.2904,0.0002,-8.8541,-1.7267,True
MLR,XGB,-4.9885,0.0005,-8.5522,-1.4248,True
MLR,kNN,-2.5796,0.3746,-6.1433,0.984,False
MLR,lasso,-0.1132,1.0,-3.6769,3.4505,False
PLS,RF,-5.2991,0.0001,-8.8628,-1.7355,True
PLS,XGB,-4.9973,0.0005,-8.561,-1.4336,True
PLS,kNN,-2.5884,0.3698,-6.1521,0.9753,False
PLS,lasso,-0.1219,1.0,-3.6856,3.4418,False
RF,XGB,0.3019,1.0,-3.2618,3.8655,False
RF,kNN,2.7108,0.3054,-0.8529,6.2744,False
RF,lasso,5.1772,0.0002,1.6135,8.7409,True
XGB,kNN,2.4089,0.4738,-1.1548,5.9726,False
XGB,lasso,4.8754,0.0008,1.3117,8.439,True
kNN,lasso,2.4665,0.4395,-1.0972,6.0301,False
