P_charged_centers,Hbond_D,Hbond_A,Double_bonds,wt_Helper,wt_Dlin,wt_DMG,wt_pDNA
0,3,10,1,0.17380167,27.93339781,0.875796734,3.534579078
0,3,10,1,0.176928509,28.43594326,0.891553058,1.799084572
0,3,10,1,0.177995941,28.60750097,0.896931912,1.206625788
0,3,10,1,0.303445302,48.76971747,0.573404455,6.171122619
0,3,10,1,0.313106392,50.32244744,0.591660502,3.183799392
0,3,10,1,0.316464928,50.86223125,0.598006949,2.14530028
0,3,10,1,0.403862938,64.90883604,0.339181476,8.213301347
0,3,10,1,0.421158444,67.68856911,0.353706986,4.282518759
0,3,10,1,0.427257572,68.66882083,0.358829297,2.8963582
0,3,10,1,0.483936236,77.77821354,0.152411429,9.841740278
0,3,10,1,0.508982609,81.80366569,0.160299563,5.175552349
0,3,10,1,0.517917642,83.23970384,0.163113572,3.510938384
0,3,10,1,0.345826166,27.79058413,0.875654013,3.516508013
0,3,10,1,0.352015492,28.28795829,0.891325784,1.789721863
0,3,10,1,0.354128128,28.45772969,0.896675114,1.200308637
0,3,10,1,0.603714399,48.51447769,0.57324133,6.13882561
0,3,10,1,0.622831674,50.05074156,0.591393642,3.16660911
0,3,10,1,0.629476023,50.58468127,0.59770261,2.133593597
0,3,10,1,0.803422948,64.56305287,0.339053065,8.169547344
0,3,10,1,0.837638588,67.31262109,0.353492431,4.258733288
0,3,10,1,0.849700751,68.28193627,0.358582792,2.880039932
0,3,10,1,0.962644151,77.35806574,0.152342292,9.788576477
0,3,10,1,1.01218332,81.33903244,0.160182064,5.146155944
0,3,10,1,1.029849202,82.75866238,0.162977761,3.490648704
0,3,10,1,0.684651564,27.50929336,0.875372905,3.480914619
0,3,10,1,0.6967787,27.99656157,0.89087826,1.771285782
0,3,10,1,0.700917115,28.16284305,0.896169501,1.187870717
0,3,10,1,1.194921386,48.01192999,0.57292015,6.075235258
0,3,10,1,1.232355638,49.51603789,0.590868475,3.132779491
0,3,10,1,1.245360437,50.03857058,0.59710379,2.110559385
0,3,10,1,1.589906357,63.88242237,0.338800303,8.083423117
0,3,10,1,1.656872358,66.57311569,0.35307039,4.211946278
0,3,10,1,1.680465797,67.52109984,0.358098022,2.847948878
0,3,10,1,1.904710307,76.53124211,0.152206235,9.683953562
0,3,10,1,2.001628704,80.42542239,0.159951027,5.088353685
0,3,10,1,2.036164454,81.81306848,0.162710794,3.45076483
0,3,10,1,3.166825963,25.44860744,0.873313555,3.220163764
0,3,10,1,3.218648844,25.86505602,0.887604718,1.636429741
0,3,10,1,3.236302115,26.00691767,0.892472949,1.096936693
0,3,10,1,5.517382906,44.33767859,0.570571923,5.610310361
0,3,10,1,5.676620932,45.61731507,0.587039286,2.88611519
0,3,10,1,5.73176269,46.06043413,0.592741689,1.942766958
0,3,10,1,7.331238305,58.91381714,0.336955144,7.454715925
0,3,10,1,7.61507958,61.19476509,0.350000931,3.871668923
0,3,10,1,7.71464137,61.99484345,0.354576947,2.614858841
0,3,10,1,8.77337423,70.50281871,0.151214235,8.921141269
0,3,10,1,9.182987891,73.79447332,0.158274166,4.668826959
0,3,10,1,9.328159771,74.96107427,0.160776288,3.16175696
0,3,10,1,17.18557707,13.81032648,0.86168282,1.747502805
0,3,10,1,17.33705987,13.93205803,0.869278151,0.881453112
0,3,10,1,17.38814933,13.97311351,0.87183977,0.589367073
0,3,10,1,29.64838622,23.82543755,0.557462479,3.014774418
0,3,10,1,30.10214206,24.19007566,0.565994203,1.530457124
0,3,10,1,30.25649629,24.31411469,0.568896442,1.025536548
0,3,10,1,39.10003905,31.42078398,0.326745229,3.975858807
0,3,10,1,39.89308543,32.0580759,0.333372438,2.028249573
0,3,10,1,40.16463175,32.27629047,0.335641655,1.361370378
0,3,10,1,46.51420513,37.37880644,0.14576355,4.729762849
0,3,10,1,47.64085485,38.28418195,0.14929418,2.4221627
0,3,10,1,48.02863206,38.59579963,0.150509374,1.627918747
0,3,10,1,0.168847699,27.13719583,4.220470565,3.433830903
0,3,10,1,0.171797314,27.61125778,4.29419832,1.746908392
0,3,10,1,0.172803554,27.77298062,4.319350016,1.171426846
0,3,10,1,0.297726132,47.85053274,2.790705139,6.054812704
0,3,10,1,0.307020903,49.34438788,2.877828708,3.121919543
0,3,10,1,0.310249483,49.86328509,2.908091467,2.103166079
0,3,10,1,0.399325464,64.17957348,1.663571545,8.121023415
0,3,10,1,0.416226385,66.89588888,1.733980006,4.232367485
0,3,10,1,0.42218249,67.85315382,1.758792865,2.861954467
0,3,10,1,0.481477857,77.38310298,0.752180491,9.791744587
0,3,10,1,0.506263891,81.36671335,0.790902045,5.147907259
0,3,10,1,0.515102897,82.78731814,0.80471063,3.491857365
