,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,P_charged_centers,0,0,-0.025357197064380797
1,P_charged_centers,1,1,0.01635936264152237
2,N_charged_centers,1,1,-0.053183326615060734
3,N_charged_centers,0,0,0.12494345294031227
4,Double_bonds,1,1,-0.012569022428620716
5,Double_bonds,2,2,0.01436787160913776
6,Double_bonds,0,0,-0.010205639787502496
7,NP_ratio,4,4,-0.014572301484678647
8,NP_ratio,8,8,-0.009313257200096809
9,NP_ratio,12,12,0.024747725186717084
10,Dlin-MC3_Helper lipid_ratio,200,200,-0.03376046179142682
11,Dlin-MC3_Helper lipid_ratio,100,100,-0.037304998265939145
12,Dlin-MC3_Helper lipid_ratio,50,50,-0.019345626652038986
13,Dlin-MC3_Helper lipid_ratio,10,10,0.046503209900137676
14,Dlin-MC3_Helper lipid_ratio,1,1,0.03682458610509782
15,Dlin-MC3+Helper lipid percentage,20,20,0.013140899404222426
16,Dlin-MC3+Helper lipid percentage,40,40,0.014108338395042814
17,Dlin-MC3+Helper lipid percentage,60,60,-0.011395142796928697
18,Dlin-MC3+Helper lipid percentage,80,80,-0.007100568496630699
19,Chol_DMG-PEG_ratio,500,500,-0.0012043151702573784
20,Chol_DMG-PEG_ratio,100,100,0.04032866529282467
21,Chol_DMG-PEG_ratio,10,10,-0.04694266042112789
