,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,P_charged_centers,0.0,0.0,-0.0434674807348651
1,P_charged_centers,1.0,1.0,0.011885807120992128
2,N_charged_centers,1.0,1.0,-0.001133957867846925
3,N_charged_centers,0.0,0.0,0.003483217988770886
4,cLogP,9.3028,9.3028,-0.046380950364359595
5,cLogP,9.784,9.784,0.054715344661521906
6,cLogP,12.515,12.515,0.044381197244963255
7,cLogP,6.12,6.12,-0.04911530047715379
8,Hbond_D,3.0,3.0,-0.02299658625588843
9,Hbond_D,2.0,2.0,0.02140452407202752
10,Hbond_D,0.0,0.0,2.9224453677231057e-05
11,NP_ratio,4.0,4.0,0.00014460377157230215
12,NP_ratio,8.0,8.0,0.0036623521679756948
13,NP_ratio,12.0,12.0,-0.0036026898692360014
14,Dlin-MC3_Helper lipid_ratio,200.0,200.0,-0.017153594898721095
15,Dlin-MC3_Helper lipid_ratio,100.0,100.0,-0.03331596099290154
16,Dlin-MC3_Helper lipid_ratio,50.0,50.0,-0.021543040656975373
17,Dlin-MC3_Helper lipid_ratio,10.0,10.0,0.009278682613500034
18,Dlin-MC3_Helper lipid_ratio,1.0,1.0,0.06450388255691372
19,Dlin-MC3+Helper lipid percentage,20.0,20.0,0.061387368120902924
20,Dlin-MC3+Helper lipid percentage,40.0,40.0,0.038245650440737265
21,Dlin-MC3+Helper lipid percentage,60.0,60.0,-0.010987617880092762
22,Dlin-MC3+Helper lipid percentage,80.0,80.0,-0.05881744238987774
23,Chol_DMG-PEG_ratio,500.0,500.0,0.023854479721763074
24,Chol_DMG-PEG_ratio,100.0,100.0,0.07983720847730794
25,Chol_DMG-PEG_ratio,10.0,10.0,-0.11628911023124758
26,Size,"(82.0, 586.5555555555555)",334.27777777777777,0.00017981573331769322
27,Size,"(586.5555555555555, 1091.111111111111)",838.8333333333333,0.03366750152975218
28,Size,"(1595.6666666666665, 2100.222222222222)",1847.9444444444443,0.03528671018810006
29,Size,"(4118.444444444444, 4623.0)",4370.722222222223,0.01688113127870405
30,Zeta,"(-9.666666666666668, -0.5555555555555571)",-5.1111111111111125,-0.004630491667893823
31,Zeta,"(-0.5555555555555571, 8.555555555555557)",4.0,0.004448042421856421
32,Zeta,"(-18.77777777777778, -9.666666666666668)",-14.222222222222223,-0.007478383083574724
33,Zeta,"(-27.88888888888889, -18.77777777777778)",-23.333333333333336,-0.005779641808854435
34,Zeta,"(8.555555555555557, 17.666666666666664)",13.11111111111111,0.026304105375892523
35,Zeta,"(-37.0, -27.88888888888889)",-32.44444444444444,-0.016459994268744026
36,Zeta,"(17.666666666666664, 26.77777777777777)",22.222222222222218,0.026364073391302978
37,Zeta,"(35.888888888888886, 45.0)",40.44444444444444,0.03271651203922055
38,Zeta,"(26.77777777777777, 35.888888888888886)",31.33333333333333,0.05047931535066388
