,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,P_charged_centers,0,0,-0.026287729460544196
1,P_charged_centers,1,1,0.01729877790366701
2,N_charged_centers,1,1,-0.054251798184895235
3,N_charged_centers,0,0,0.12678865841324008
4,Double_bonds,1,1,-0.011265176832292948
5,Double_bonds,2,2,0.015635682889928317
6,Double_bonds,0,0,-0.011409075333344216
7,NP_ratio,4,4,-0.015537927336117812
8,NP_ratio,8,8,-0.0091598334054414
9,NP_ratio,12,12,0.02539092963014843
10,Dlin-MC3_Helper lipid_ratio,200,200,-0.03527170386846298
11,Dlin-MC3_Helper lipid_ratio,100,100,-0.03794311329148773
12,Dlin-MC3_Helper lipid_ratio,50,50,-0.020243859029113673
13,Dlin-MC3_Helper lipid_ratio,10,10,0.04640629044331424
14,Dlin-MC3_Helper lipid_ratio,1,1,0.039364860194225935
15,Dlin-MC3+Helper lipid percentage,20,20,0.01626429038669219
16,Dlin-MC3+Helper lipid percentage,40,40,0.014274796525958594
17,Dlin-MC3+Helper lipid percentage,60,60,-0.011687391537704992
18,Dlin-MC3+Helper lipid percentage,80,80,-0.006973739640912045
19,Chol_DMG-PEG_ratio,500,500,-0.0017699967985819742
20,Chol_DMG-PEG_ratio,100,100,0.040012111568986035
21,Chol_DMG-PEG_ratio,10,10,-0.047458536741283516
