,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,P_charged_centers,0,0,-0.0003528763111177065
1,P_charged_centers,1,1,0.00038159331611134224
2,N_charged_centers,1,1,-0.0661876922273927
3,N_charged_centers,0,0,0.15503792567860866
4,Double_bonds,1,1,-0.015424225698111867
5,Double_bonds,2,2,-0.02554961824252132
6,Double_bonds,0,0,0.012910377253750297
7,NP_ratio,4,4,-0.010682275934740398
8,NP_ratio,8,8,-0.014888938463648577
9,NP_ratio,12,12,0.014976489638695363
10,Dlin-MC3_Helper lipid_ratio,200,200,-0.03440865196769982
11,Dlin-MC3_Helper lipid_ratio,100,100,-0.030633342462339824
12,Dlin-MC3_Helper lipid_ratio,50,50,-0.02778558534398557
13,Dlin-MC3_Helper lipid_ratio,10,10,0.03342179075130377
14,Dlin-MC3_Helper lipid_ratio,1,1,0.11168894046042804
15,Dlin-MC3+Helper lipid percentage,20,20,-0.036030787974529355
16,Dlin-MC3+Helper lipid percentage,40,40,-0.011564148469620159
17,Dlin-MC3+Helper lipid percentage,60,60,0.01176848327574276
18,Dlin-MC3+Helper lipid percentage,80,80,0.01413310003657111
19,Chol_DMG-PEG_ratio,500,500,-0.004668016626523475
20,Chol_DMG-PEG_ratio,100,100,0.02103392276365555
21,Chol_DMG-PEG_ratio,10,10,-0.014266921827483714
