,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.03332,0.0043240721548096295,0.6031318712585106,0.04428447612624136,0.8981328460330985,0.02589443788809073,0.0
1,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.03332,0.0043240721548096295,0.6031318712585106,0.04428447612624136,0.8981328460330985,0.02589443788809073,0.08333333333333333
2,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.03332,0.0043240721548096295,0.6031318712585106,0.04428447612624136,0.8981328460330985,0.02589443788809073,0.16666666666666666
3,9,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.0333,0.004295346318982905,0.6033646354957021,0.04683794662621804,0.897479526114839,0.02548609506520443,0.25
4,9,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.0333,0.004295346318982905,0.6033646354957021,0.04683794662621804,0.897479526114839,0.02548609506520443,0.3333333333333333
5,8,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.033240000000000006,0.004081960313378854,0.6052472270662449,0.044196116858984245,0.8982780416041735,0.025965096926431966,0.4166666666666667
6,8,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.033240000000000006,0.004081960313378854,0.6052472270662449,0.044196116858984245,0.8982780416041735,0.025965096926431966,0.5
7,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.03602,0.003942029933929979,0.5988092606685853,0.04327449989623472,0.8811507482809275,0.02732952151413466,0.5833333333333334
8,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.03602,0.003942029933929979,0.5988092606685853,0.04327449989623472,0.8811507482809275,0.02732952151413466,0.6666666666666666
9,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.03602,0.003942029933929979,0.5988092606685853,0.04327449989623472,0.8811507482809275,0.02732952151413466,0.75
10,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.06802000000000001,0.006862914832634891,0.47970737287517695,0.04585044526280493,0.5381281052611052,0.07012133819154974,0.8333333333333334
11,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.06802000000000001,0.006862914832634891,0.47970737287517695,0.04585044526280493,0.5381281052611052,0.07012133819154974,0.9166666666666666
