,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_HepG2
0,1,18PG,0,1,9.3028,3,10,36,1,4,200,20,500,440.1666667,-7.193333333,2.303
1,2,18PG,0,1,9.3028,3,10,36,1,8,200,20,500,320.9666667,-5.036666667,3.0
2,3,18PG,0,1,9.3028,3,10,36,1,12,200,20,500,205.6333333,-0.522666667,2.015
3,4,18PG,0,1,9.3028,3,10,36,1,4,200,40,500,236.0666667,-4.42,2.565
4,5,18PG,0,1,9.3028,3,10,36,1,8,200,40,500,188.6,-3.686666667,2.803
5,6,18PG,0,1,9.3028,3,10,36,1,12,200,40,500,248.3,-2.553333333,3.0
6,7,18PG,0,1,9.3028,3,10,36,1,4,200,60,500,221.0666667,-1.06,2.639
7,8,18PG,0,1,9.3028,3,10,36,1,8,200,60,500,206.6333333,1.177333333,2.89
8,9,18PG,0,1,9.3028,3,10,36,1,12,200,60,500,239.3,-0.068333333,2.197
10,11,18PG,0,1,9.3028,3,10,36,1,8,200,80,500,195.4666667,-14.43333333,3.0
12,13,18PG,0,1,9.3028,3,10,36,1,4,100,20,500,395.5333333,-9.85,3.0
13,14,18PG,0,1,9.3028,3,10,36,1,8,100,20,500,412.0666667,-4.376666667,2.251
15,16,18PG,0,1,9.3028,3,10,36,1,4,100,40,500,218.7666667,-4.306666667,2.251
16,17,18PG,0,1,9.3028,3,10,36,1,8,100,40,500,221.7666667,-1.85,2.351
18,19,18PG,0,1,9.3028,3,10,36,1,4,100,60,500,227.4,0.728366667,3.0
19,20,18PG,0,1,9.3028,3,10,36,1,8,100,60,500,217.1,-0.417,3.0
20,21,18PG,0,1,9.3028,3,10,36,1,12,100,60,500,241.5666667,-2.663333333,2.251
22,23,18PG,0,1,9.3028,3,10,36,1,8,100,80,500,184.6,-17.4,3.0
23,24,18PG,0,1,9.3028,3,10,36,1,12,100,80,500,285.2666667,-8.583333333,3.0
24,25,18PG,0,1,9.3028,3,10,36,1,4,50,20,500,431.4,-6.4,3.0
28,29,18PG,0,1,9.3028,3,10,36,1,8,50,40,500,247.4666667,-2.506666667,3.0
29,30,18PG,0,1,9.3028,3,10,36,1,12,50,40,500,230.4,-2.166666667,2.251
30,31,18PG,0,1,9.3028,3,10,36,1,4,50,60,500,215.5666667,0.091,3.0
31,32,18PG,0,1,9.3028,3,10,36,1,8,50,60,500,221.9666667,-0.125666667,2.251
32,33,18PG,0,1,9.3028,3,10,36,1,12,50,60,500,234.9333333,0.407333333,3.584
34,35,18PG,0,1,9.3028,3,10,36,1,8,50,80,500,163.9833333,-6.63,2.803
35,36,18PG,0,1,9.3028,3,10,36,1,12,50,80,500,247.1,-11.83333333,3.0
36,37,18PG,0,1,9.3028,3,10,36,1,4,10,20,500,303.8,-4.81,3.0
38,39,18PG,0,1,9.3028,3,10,36,1,12,10,20,500,947.7666667,-0.677333333,3.199
39,40,18PG,0,1,9.3028,3,10,36,1,4,10,40,500,242.8,1.363333333,2.773
40,41,18PG,0,1,9.3028,3,10,36,1,8,10,40,500,182.1,-1.420666667,2.351
41,42,18PG,0,1,9.3028,3,10,36,1,12,10,40,500,252.6333333,-2.366666667,2.674
42,43,18PG,0,1,9.3028,3,10,36,1,4,10,60,500,242.8,-1.566666667,3.0
43,44,18PG,0,1,9.3028,3,10,36,1,8,10,60,500,202.9666667,-2.063333333,3.839
44,45,18PG,0,1,9.3028,3,10,36,1,12,10,60,500,142.2666667,-0.186,3.526
45,46,18PG,0,1,9.3028,3,10,36,1,4,10,80,500,154.0833333,-22.66666667,2.015
46,47,18PG,0,1,9.3028,3,10,36,1,8,10,80,500,172.25,-0.437,3.258
47,48,18PG,0,1,9.3028,3,10,36,1,12,10,80,500,175.9333333,-2.24,3.0
50,51,18PG,0,1,9.3028,3,10,36,1,12,1,20,500,1049.966667,-2.423333333,3.0
57,58,18PG,0,1,9.3028,3,10,36,1,4,1,80,500,476.1166667,-6.776666667,3.0
58,59,18PG,0,1,9.3028,3,10,36,1,8,1,80,500,418.8333333,-5.44,3.0
59,60,18PG,0,1,9.3028,3,10,36,1,12,1,80,500,268.4333333,-4.47,3.0
62,63,18PG,0,1,9.3028,3,10,36,1,12,200,20,100,296.5333333,-1.007333333,2.303
68,69,18PG,0,1,9.3028,3,10,36,1,12,200,60,100,164.5333333,-4.233333333,3.57
69,70,18PG,0,1,9.3028,3,10,36,1,4,200,80,100,415.6,-2.0,3.0
70,71,18PG,0,1,9.3028,3,10,36,1,8,200,80,100,420.6,-2.613333333,2.485
71,72,18PG,0,1,9.3028,3,10,36,1,12,200,80,100,725.6666667,-0.015666667,2.603
73,74,18PG,0,1,9.3028,3,10,36,1,8,100,20,100,187.7333333,-1.543333333,3.0
75,76,18PG,0,1,9.3028,3,10,36,1,4,100,40,100,118.2,-1.441,2.97
79,80,18PG,0,1,9.3028,3,10,36,1,8,100,60,100,207.7333333,-5.52,2.639
81,82,18PG,0,1,9.3028,3,10,36,1,4,100,80,100,379.2666667,-2.153333333,3.0
82,83,18PG,0,1,9.3028,3,10,36,1,8,100,80,100,430.7333333,-1.356666667,3.0
83,84,18PG,0,1,9.3028,3,10,36,1,12,100,80,100,255.0166667,0.867666667,2.996
89,90,18PG,0,1,9.3028,3,10,36,1,12,50,40,100,203.3333333,-2.2,3.0
91,92,18PG,0,1,9.3028,3,10,36,1,8,50,60,100,235.7333333,-2.013333333,2.398
92,93,18PG,0,1,9.3028,3,10,36,1,12,50,60,100,183.1666667,-3.336666667,2.079
94,95,18PG,0,1,9.3028,3,10,36,1,8,50,80,100,410.2,0.9383,2.079
95,96,18PG,0,1,9.3028,3,10,36,1,12,50,80,100,363.8,0.4627,3.0
97,98,18PG,0,1,9.3028,3,10,36,1,8,10,20,100,170.4666667,-1.013333333,3.0
99,100,18PG,0,1,9.3028,3,10,36,1,4,10,40,100,153.8666667,-1.636666667,2.351
100,101,18PG,0,1,9.3028,3,10,36,1,8,10,40,100,202.0333333,-0.022666667,2.251
101,102,18PG,0,1,9.3028,3,10,36,1,12,10,40,100,192.2666667,-3.43,3.784
102,103,18PG,0,1,9.3028,3,10,36,1,4,10,60,100,176.8,-13.4,2.442
103,104,18PG,0,1,9.3028,3,10,36,1,8,10,60,100,293.4666667,-1.985333333,2.303
104,105,18PG,0,1,9.3028,3,10,36,1,12,10,60,100,281.8333333,-3.243333333,3.135
105,106,18PG,0,1,9.3028,3,10,36,1,4,10,80,100,496.8666667,-1.304,3.0
106,107,18PG,0,1,9.3028,3,10,36,1,8,10,80,100,526.7333333,-0.888,2.833
107,108,18PG,0,1,9.3028,3,10,36,1,12,10,80,100,501.1333333,-0.417666667,3.0
108,109,18PG,0,1,9.3028,3,10,36,1,4,1,20,100,237.7333333,-6.72,3.0
109,110,18PG,0,1,9.3028,3,10,36,1,8,1,20,100,154.0666667,-5.936666667,3.0
110,111,18PG,0,1,9.3028,3,10,36,1,12,1,20,100,185.1,-3.736666667,3.0
111,112,18PG,0,1,9.3028,3,10,36,1,4,1,40,100,196.1666667,-7.57,3.0
112,113,18PG,0,1,9.3028,3,10,36,1,8,1,40,100,298.0333333,-4.593333333,3.0
113,114,18PG,0,1,9.3028,3,10,36,1,12,1,40,100,189.2333333,-1.266666667,3.0
114,115,18PG,0,1,9.3028,3,10,36,1,4,1,60,100,241.5,-16.4,5.075
115,116,18PG,0,1,9.3028,3,10,36,1,8,1,60,100,249.8,-1.483333333,3.0
116,117,18PG,0,1,9.3028,3,10,36,1,12,1,60,100,346.5,-0.622,3.0
117,118,18PG,0,1,9.3028,3,10,36,1,4,1,80,100,364.1333333,-8.473333333,3.0
118,119,18PG,0,1,9.3028,3,10,36,1,8,1,80,100,812.3666667,-5.833333333,3.0
119,120,18PG,0,1,9.3028,3,10,36,1,12,1,80,100,409.6,-6.46,3.0
120,121,18PG,0,1,9.3028,3,10,36,1,4,200,20,10,113.3,-1.485333333,3.0
121,122,18PG,0,1,9.3028,3,10,36,1,8,200,20,10,179.0666667,-0.415666667,3.0
123,124,18PG,0,1,9.3028,3,10,36,1,4,200,40,10,108.3166667,-1.42,3.0
124,125,18PG,0,1,9.3028,3,10,36,1,8,200,40,10,153.9,-0.845333333,2.674
125,126,18PG,0,1,9.3028,3,10,36,1,12,200,40,10,120.1,-1.69,2.14
127,128,18PG,0,1,9.3028,3,10,36,1,8,200,60,10,192.9,-1.398,2.197
128,129,18PG,0,1,9.3028,3,10,36,1,12,200,60,10,260.3666667,-0.940666667,2.015
129,130,18PG,0,1,9.3028,3,10,36,1,4,200,80,10,230.6333333,8.696666667,3.0
130,131,18PG,0,1,9.3028,3,10,36,1,8,200,80,10,237.4,-0.939,3.0
131,132,18PG,0,1,9.3028,3,10,36,1,12,200,80,10,208.8333333,-0.976,3.0
132,133,18PG,0,1,9.3028,3,10,36,1,4,100,20,10,129.5333333,-1.733333333,3.0
135,136,18PG,0,1,9.3028,3,10,36,1,4,100,40,10,181.4666667,-1.7,3.0
136,137,18PG,0,1,9.3028,3,10,36,1,8,100,40,10,144.4,-0.988333333,3.0
137,138,18PG,0,1,9.3028,3,10,36,1,12,100,40,10,123.8,-2.643333333,3.0
139,140,18PG,0,1,9.3028,3,10,36,1,8,100,60,10,212.9666667,-0.511666667,3.0
140,141,18PG,0,1,9.3028,3,10,36,1,12,100,60,10,219.6333333,-1.116666667,2.639
141,142,18PG,0,1,9.3028,3,10,36,1,4,100,80,10,243.4333333,2.933333333,3.0
142,143,18PG,0,1,9.3028,3,10,36,1,8,100,80,10,226.2666667,0.520333333,3.0
143,144,18PG,0,1,9.3028,3,10,36,1,12,100,80,10,262.2333333,-2.67,2.14
144,145,18PG,0,1,9.3028,3,10,36,1,4,50,20,10,135.9333333,-1.596666667,3.0
146,147,18PG,0,1,9.3028,3,10,36,1,12,50,20,10,1599.666667,-2.373333333,3.0
147,148,18PG,0,1,9.3028,3,10,36,1,4,50,40,10,113.75,-1.247666667,3.0
148,149,18PG,0,1,9.3028,3,10,36,1,8,50,40,10,142.2666667,-1.014,3.0
149,150,18PG,0,1,9.3028,3,10,36,1,12,50,40,10,142.3333333,-3.99,3.0
150,151,18PG,0,1,9.3028,3,10,36,1,4,50,60,10,256.9666667,-10.79333333,3.0
151,152,18PG,0,1,9.3028,3,10,36,1,8,50,60,10,205.9333333,-1.503333333,2.398
152,153,18PG,0,1,9.3028,3,10,36,1,12,50,60,10,184.7,-1.180333333,2.303
153,154,18PG,0,1,9.3028,3,10,36,1,4,50,80,10,244.4333333,1.269666667,3.0
154,155,18PG,0,1,9.3028,3,10,36,1,8,50,80,10,247.3666667,-1.149666667,2.015
155,156,18PG,0,1,9.3028,3,10,36,1,12,50,80,10,250.6333333,-1.219666667,2.251
159,160,18PG,0,1,9.3028,3,10,36,1,4,10,40,10,111.6666667,-1.019766667,3.0
161,162,18PG,0,1,9.3028,3,10,36,1,12,10,40,10,118.0,-1.693333333,3.0
162,163,18PG,0,1,9.3028,3,10,36,1,4,10,60,10,233.5,-0.879,3.0
163,164,18PG,0,1,9.3028,3,10,36,1,8,10,60,10,264.6666667,-0.790333333,2.398
164,165,18PG,0,1,9.3028,3,10,36,1,12,10,60,10,220.9,-1.506666667,3.0
165,166,18PG,0,1,9.3028,3,10,36,1,4,10,80,10,256.1,0.606333333,3.0
166,167,18PG,0,1,9.3028,3,10,36,1,8,10,80,10,278.3,-1.317,3.0
167,168,18PG,0,1,9.3028,3,10,36,1,12,10,80,10,265.9,-0.951333333,2.303
169,170,18PG,0,1,9.3028,3,10,36,1,8,1,20,10,682.8333333,-31.73333333,3.0
171,172,18PG,0,1,9.3028,3,10,36,1,4,1,40,10,163.5666667,-1.746666667,3.0
172,173,18PG,0,1,9.3028,3,10,36,1,8,1,40,10,459.9666667,-1.683333333,3.0
174,175,18PG,0,1,9.3028,3,10,36,1,4,1,60,10,194.8666667,-1.74,3.0
176,177,18PG,0,1,9.3028,3,10,36,1,12,1,60,10,1021.5,-1.422666667,3.0
177,178,18PG,0,1,9.3028,3,10,36,1,4,1,80,10,201.0,-1.713333333,3.0
178,179,18PG,0,1,9.3028,3,10,36,1,8,1,80,10,456.4,-2.203333333,3.0
179,180,18PG,0,1,9.3028,3,10,36,1,12,1,80,10,398.5,-1.184333333,3.0
181,182,DOPE,1,1,9.784,2,9,36,2,8,200,20,500,533.7,-3.523333333,3.0
183,184,DOPE,1,1,9.784,2,9,36,2,4,200,40,500,237.1333333,-4.23,3.0
184,185,DOPE,1,1,9.784,2,9,36,2,8,200,40,500,185.1333333,-1.803333333,3.0
186,187,DOPE,1,1,9.784,2,9,36,2,4,200,60,500,206.6,-5.31,3.0
187,188,DOPE,1,1,9.784,2,9,36,2,8,200,60,500,173.1333333,0.721666667,3.0
188,189,DOPE,1,1,9.784,2,9,36,2,12,200,60,500,183.6666667,-0.501666667,3.0
189,190,DOPE,1,1,9.784,2,9,36,2,4,200,80,500,166.6333333,-24.63333333,3.0
190,191,DOPE,1,1,9.784,2,9,36,2,8,200,80,500,137.6333333,-6.11,3.0
191,192,DOPE,1,1,9.784,2,9,36,2,12,200,80,500,158.8,-0.955,3.0
192,193,DOPE,1,1,9.784,2,9,36,2,4,100,20,500,577.6666667,-11.77666667,3.0
