,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_PC3
0,181,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,500,2.079
1,182,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,500,1.792
2,183,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,500,2.89
3,184,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,500,1.609
4,185,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,500,2.079
5,186,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,500,1.386
6,187,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,500,1.386
7,188,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,500,3.784
8,189,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,500,1.386
9,190,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,500,0.693
10,191,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,500,1.609
11,192,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,500,1.386
12,193,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,500,3.584
13,194,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,500,5.05
14,195,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,500,2.639
15,196,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,500,1.609
16,197,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,500,0.693
17,198,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,500,1.386
18,199,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,500,1.099
19,200,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,500,1.792
20,201,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,500,1.792
21,202,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,500,1.0
22,203,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,500,1.386
23,204,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,500,1.792
24,205,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,500,4.344
25,206,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,500,1.609
26,207,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,500,1.099
27,208,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,500,1.099
28,209,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,500,1.609
29,210,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,500,1.386
30,211,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,500,0.693
31,212,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,500,1.609
32,213,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,500,1.099
33,214,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,500,1.099
34,215,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,500,0.693
35,216,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,500,1.946
36,217,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,500,2.565
37,218,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,500,2.079
38,219,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,500,1.099
39,220,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,500,1.609
40,221,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,500,1.099
41,222,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,500,1.609
42,223,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,500,1.386
43,224,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,500,0.693
44,225,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,500,1.099
45,226,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,500,1.386
46,227,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,500,2.303
47,228,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,500,1.386
48,229,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,500,1.099
49,230,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,500,1.386
50,231,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,500,1.609
51,232,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,500,1.099
52,233,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,500,3.367
53,234,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,500,2.197
54,235,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,500,1.386
55,236,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,500,1.099
56,237,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,500,2.079
57,238,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,500,1.946
58,239,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,500,2.708
59,240,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,500,1.946
60,241,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,100,2.079
61,242,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,100,1.609
62,243,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,100,2.833
63,244,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,100,1.099
64,245,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,100,1.792
65,246,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,100,2.079
66,247,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,100,0.693
67,248,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,100,1.099
68,249,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,100,1.946
69,250,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,100,1.792
70,251,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,100,1.099
71,252,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,100,2.079
72,253,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,100,1.099
73,254,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,100,2.773
74,255,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,100,2.197
75,256,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,100,1.386
76,257,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,100,1.099
77,258,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,100,3.555
78,259,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,100,0.693
79,260,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,100,1.946
80,261,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,100,1.609
81,262,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,100,1.099
82,263,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,100,1.386
83,264,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,100,1.792
84,265,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,100,1.946
85,266,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,100,1.386
86,267,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,100,1.386
87,268,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,100,1.609
88,269,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,100,1.386
89,270,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,100,1.609
90,271,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,100,1.386
91,272,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,100,1.946
92,273,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,100,1.792
93,274,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,100,1.946
94,275,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,100,2.565
95,276,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,100,0.693
96,277,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,100,4.043
97,278,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,100,1.792
98,279,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,100,2.303
99,280,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,100,1.792
100,281,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,100,2.639
101,282,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,100,1.792
102,283,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,100,1.792
103,284,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,100,1.792
104,285,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,100,3.434
105,286,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,100,2.303
106,287,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,100,1.609
107,288,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,100,4.431
108,289,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,100,1.792
109,290,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,100,1.792
110,291,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,100,3.258
111,292,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,100,2.303
112,293,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,100,2.079
113,294,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,100,3.332
114,295,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,100,2.398
115,296,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,100,4.682
116,297,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,100,6.621
117,298,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,100,4.934
118,299,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,100,6.443
119,300,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,100,7.745
120,301,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,10,0.693
121,302,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,10,1.386
122,303,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,10,1.386
123,304,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,10,1.609
124,305,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,10,1.609
125,306,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,10,1.386
126,307,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,10,1.099
127,308,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,10,1.609
128,309,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,10,2.773
129,310,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,10,1.609
130,311,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,10,1.792
131,312,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,10,1.946
132,313,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,10,1.099
133,314,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,10,0.693
134,315,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,10,1.386
135,316,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,10,1.386
136,317,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,10,0.693
137,318,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,10,1.386
138,319,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,10,1.386
139,320,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,10,2.079
140,321,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,10,2.303
141,322,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,10,1.099
142,323,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,10,1.099
143,324,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,10,1.792
144,325,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,10,1.386
145,326,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,10,1.792
146,327,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,10,1.099
147,328,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,10,1.609
148,329,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,10,1.099
149,330,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,10,2.485
150,331,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,10,1.099
151,332,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,10,1.609
152,333,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,10,2.708
153,334,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,10,1.609
154,335,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,10,1.386
155,336,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,10,2.079
156,337,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,10,1.099
157,338,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,10,0.693
158,339,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,10,1.386
159,340,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,10,1.099
160,341,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,10,1.386
161,342,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,10,1.946
162,343,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,10,0.693
163,344,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,10,1.386
164,345,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,10,2.708
165,346,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,10,1.099
166,347,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,10,1.792
167,348,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,10,2.197
168,349,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,10,1.099
169,350,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,10,0.693
170,351,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,10,1.609
171,352,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,10,0.693
172,353,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,10,1.792
173,354,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,10,3.219
174,355,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,10,1.099
175,356,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,10,0.693
176,357,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,10,1.946
177,358,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,10,1.099
178,359,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,10,1.386
179,360,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,10,3.807
180,361,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,20,500,2.079
181,362,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,20,500,2.079
182,363,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,20,500,1.386
183,364,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,40,500,2.89
184,365,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,40,500,3.178
185,366,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,40,500,1.792
186,367,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,60,500,1.946
187,368,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,60,500,1.946
188,369,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,60,500,1.946
189,370,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,80,500,2.833
190,371,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,80,500,1.946
191,372,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,80,500,1.386
192,373,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,20,500,1.386
193,374,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,20,500,1.609
194,375,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,20,500,1.386
195,376,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,40,500,2.398
196,377,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,40,500,2.197
197,378,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,40,500,1.946
198,379,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,60,500,1.946
199,380,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,60,500,1.386
200,381,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,60,500,1.946
201,382,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,80,500,1.946
202,383,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,80,500,2.485
203,384,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,80,500,1.386
204,385,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,20,500,1.792
205,386,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,20,500,2.303
206,387,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,20,500,2.303
207,388,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,40,500,2.773
208,389,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,40,500,4.025
209,390,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,40,500,2.197
210,391,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,60,500,1.792
211,392,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,60,500,2.565
212,393,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,60,500,1.946
213,394,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,80,500,1.792
214,395,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,80,500,2.079
215,396,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,80,500,1.099
216,397,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,20,500,1.946
217,398,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,20,500,1.946
218,399,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,20,500,4.771
219,400,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,40,500,2.89
220,401,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,40,500,5.03
