,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_HepG2
,,,,,,,,,,,,,,,
0,181,DOPE,1,1,9.784,134,2,9,36,2,4,200,20,500,2.485
,,,,,,,,,,,,,,,
1,182,DOPE,1,1,9.784,134,2,9,36,2,8,200,20,500,1.792
,,,,,,,,,,,,,,,
2,183,DOPE,1,1,9.784,134,2,9,36,2,12,200,20,500,1.609
,,,,,,,,,,,,,,,
3,184,DOPE,1,1,9.784,134,2,9,36,2,4,200,40,500,1.099
,,,,,,,,,,,,,,,
4,185,DOPE,1,1,9.784,134,2,9,36,2,8,200,40,500,1.253
,,,,,,,,,,,,,,,
5,186,DOPE,1,1,9.784,134,2,9,36,2,12,200,40,500,1.386
,,,,,,,,,,,,,,,
6,187,DOPE,1,1,9.784,134,2,9,36,2,4,200,60,500,1.099
,,,,,,,,,,,,,,,
7,188,DOPE,1,1,9.784,134,2,9,36,2,8,200,60,500,1.386
,,,,,,,,,,,,,,,
8,189,DOPE,1,1,9.784,134,2,9,36,2,12,200,60,500,1.504
,,,,,,,,,,,,,,,
9,190,DOPE,1,1,9.784,134,2,9,36,2,4,200,80,500,1.253
,,,,,,,,,,,,,,,
10,191,DOPE,1,1,9.784,134,2,9,36,2,8,200,80,500,0.916
,,,,,,,,,,,,,,,
11,192,DOPE,1,1,9.784,134,2,9,36,2,12,200,80,500,1.253
,,,,,,,,,,,,,,,
12,193,DOPE,1,1,9.784,134,2,9,36,2,4,100,20,500,1.253
,,,,,,,,,,,,,,,
13,194,DOPE,1,1,9.784,134,2,9,36,2,8,100,20,500,2.398
,,,,,,,,,,,,,,,
14,195,DOPE,1,1,9.784,134,2,9,36,2,12,100,20,500,1.609
,,,,,,,,,,,,,,,
15,196,DOPE,1,1,9.784,134,2,9,36,2,4,100,40,500,1.099
,,,,,,,,,,,,,,,
16,197,DOPE,1,1,9.784,134,2,9,36,2,8,100,40,500,0.916
,,,,,,,,,,,,,,,
17,198,DOPE,1,1,9.784,134,2,9,36,2,12,100,40,500,1.099
,,,,,,,,,,,,,,,
18,199,DOPE,1,1,9.784,134,2,9,36,2,4,100,60,500,0.916
,,,,,,,,,,,,,,,
19,200,DOPE,1,1,9.784,134,2,9,36,2,8,100,60,500,1.099
,,,,,,,,,,,,,,,
20,201,DOPE,1,1,9.784,134,2,9,36,2,12,100,60,500,1.253
,,,,,,,,,,,,,,,
21,202,DOPE,1,1,9.784,134,2,9,36,2,4,100,80,500,0.916
,,,,,,,,,,,,,,,
22,203,DOPE,1,1,9.784,134,2,9,36,2,8,100,80,500,0.693
,,,,,,,,,,,,,,,
23,204,DOPE,1,1,9.784,134,2,9,36,2,12,100,80,500,0.693
,,,,,,,,,,,,,,,
24,205,DOPE,1,1,9.784,134,2,9,36,2,4,50,20,500,2.398
,,,,,,,,,,,,,,,
25,206,DOPE,1,1,9.784,134,2,9,36,2,8,50,20,500,2.351
,,,,,,,,,,,,,,,
26,207,DOPE,1,1,9.784,134,2,9,36,2,12,50,20,500,0.916
,,,,,,,,,,,,,,,
27,208,DOPE,1,1,9.784,134,2,9,36,2,4,50,40,500,0.916
,,,,,,,,,,,,,,,
28,209,DOPE,1,1,9.784,134,2,9,36,2,8,50,40,500,0.916
,,,,,,,,,,,,,,,
29,210,DOPE,1,1,9.784,134,2,9,36,2,12,50,40,500,0.405
,,,,,,,,,,,,,,,
30,211,DOPE,1,1,9.784,134,2,9,36,2,4,50,60,500,0.405
,,,,,,,,,,,,,,,
31,212,DOPE,1,1,9.784,134,2,9,36,2,8,50,60,500,0.405
,,,,,,,,,,,,,,,
32,213,DOPE,1,1,9.784,134,2,9,36,2,12,50,60,500,1.253
,,,,,,,,,,,,,,,
33,214,DOPE,1,1,9.784,134,2,9,36,2,4,50,80,500,0.693
,,,,,,,,,,,,,,,
34,215,DOPE,1,1,9.784,134,2,9,36,2,8,50,80,500,0.405
,,,,,,,,,,,,,,,
35,216,DOPE,1,1,9.784,134,2,9,36,2,12,50,80,500,4.357
,,,,,,,,,,,,,,,
36,217,DOPE,1,1,9.784,134,2,9,36,2,4,10,20,500,2.741
,,,,,,,,,,,,,,,
37,218,DOPE,1,1,9.784,134,2,9,36,2,8,10,20,500,1.386
,,,,,,,,,,,,,,,
38,219,DOPE,1,1,9.784,134,2,9,36,2,12,10,20,500,1.253
,,,,,,,,,,,,,,,
39,220,DOPE,1,1,9.784,134,2,9,36,2,4,10,40,500,1.253
,,,,,,,,,,,,,,,
40,221,DOPE,1,1,9.784,134,2,9,36,2,8,10,40,500,1.099
,,,,,,,,,,,,,,,
41,222,DOPE,1,1,9.784,134,2,9,36,2,12,10,40,500,0.916
,,,,,,,,,,,,,,,
42,223,DOPE,1,1,9.784,134,2,9,36,2,4,10,60,500,0.693
,,,,,,,,,,,,,,,
43,224,DOPE,1,1,9.784,134,2,9,36,2,8,10,60,500,0.405
,,,,,,,,,,,,,,,
44,225,DOPE,1,1,9.784,134,2,9,36,2,12,10,60,500,1.609
,,,,,,,,,,,,,,,
45,226,DOPE,1,1,9.784,134,2,9,36,2,4,10,80,500,1.504
,,,,,,,,,,,,,,,
46,227,DOPE,1,1,9.784,134,2,9,36,2,8,10,80,500,1.253
,,,,,,,,,,,,,,,
47,228,DOPE,1,1,9.784,134,2,9,36,2,12,10,80,500,3.902
,,,,,,,,,,,,,,,
48,229,DOPE,1,1,9.784,134,2,9,36,2,4,1,20,500,3.676
,,,,,,,,,,,,,,,
49,230,DOPE,1,1,9.784,134,2,9,36,2,8,1,20,500,2.862
,,,,,,,,,,,,,,,
50,231,DOPE,1,1,9.784,134,2,9,36,2,12,1,20,500,2.197
,,,,,,,,,,,,,,,
51,232,DOPE,1,1,9.784,134,2,9,36,2,4,1,40,500,1.253
,,,,,,,,,,,,,,,
52,233,DOPE,1,1,9.784,134,2,9,36,2,8,1,40,500,3.584
,,,,,,,,,,,,,,,
53,234,DOPE,1,1,9.784,134,2,9,36,2,12,1,40,500,3.401
,,,,,,,,,,,,,,,
54,235,DOPE,1,1,9.784,134,2,9,36,2,4,1,60,500,4.174
,,,,,,,,,,,,,,,
55,236,DOPE,1,1,9.784,134,2,9,36,2,8,1,60,500,4.159
,,,,,,,,,,,,,,,
56,237,DOPE,1,1,9.784,134,2,9,36,2,12,1,60,500,5.807
