,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_PC3,Exp_PC3
0,1,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,500,2.890175541218196,17.99646844628277
1,2,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,500,2.970272317910508,19.497228317644485
2,3,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,500,2.707904251597284,14.997810917177775
3,4,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,500,2.9177403331836493,18.499437628886124
4,5,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,500,2.740929417814061,15.501385667211498
5,6,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,500,2.944332606715115,18.997979030914447
6,7,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,500,3.1136660714629696,22.50339240640038
7,8,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,500,2.602751143451792,13.500829708595866
8,9,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,500,2.6741246303783845,14.499651727984507
9,10,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,500,2.707904251597284,14.997810917177775
10,11,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,500,2.7726789280592854,16.001443358210743
11,12,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,500,2.602751143451792,13.500829708595866
12,13,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,500,2.707904251597284,14.997810917177775
13,14,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,500,2.4848821211989405,11.999705660541164
14,15,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,500,2.5650388426503046,13.001163359504929
15,16,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,500,2.6741246303783845,14.499651727984507
16,17,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,500,2.6741246303783845,14.499651727984507
17,18,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,500,2.6389732352794555,13.998822728800372
18,19,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,500,2.6389732352794555,13.998822728800372
19,20,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,500,2.6741246303783845,14.499651727984507
20,21,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,500,2.6741246303783845,14.499651727984507
21,22,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,500,2.5650388426503046,13.001163359504929
22,23,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,500,2.6389732352794555,13.998822728800372
23,24,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,500,2.5650388426503046,13.001163359504929
24,25,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,500,2.4848821211989405,11.999705660541164
25,26,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,500,2.602751143451792,13.500829708595866
26,27,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,500,2.4848821211989405,11.999705660541164
27,28,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,500,2.740929417814061,15.501385667211498
28,29,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,500,2.602751143451792,13.500829708595866
29,30,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,500,2.525670504695033,12.499273275960652
30,31,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,500,2.602751143451792,13.500829708595866
31,32,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,500,2.602751143451792,13.500829708595866
32,33,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,500,2.5650388426503046,13.001163359504929
33,34,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,500,2.602751143451792,13.500829708595866
34,35,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,500,2.525670504695033,12.499273275960652
35,36,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,500,2.602751143451792,13.500829708595866
36,37,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,500,2.5650388426503046,13.001163359504929
37,38,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,20,500,2.6389732352794555,13.998822728800372
38,39,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,20,500,2.6389732352794555,13.998822728800372
39,40,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,500,2.6389732352794555,13.998822728800372
40,41,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,500,2.6389732352794555,13.998822728800372
41,42,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,500,2.4848821211989405,11.999705660541164
42,43,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,500,2.602751143451792,13.500829708595866
43,44,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,500,2.5650388426503046,13.001163359504929
44,45,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,500,2.6741246303783845,14.499651727984507
45,46,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,500,2.6741246303783845,14.499651727984507
46,47,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,500,2.5650388426503046,13.001163359504929
47,48,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,80,500,2.602751143451792,13.500829708595866
48,49,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,20,500,2.5650388426503046,13.001163359504929
49,50,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,20,500,2.5650388426503046,13.001163359504929
50,51,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,20,500,2.6389732352794555,13.998822728800372
51,52,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,40,500,2.6389732352794555,13.998822728800372
52,53,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,40,500,2.6741246303783845,14.499651727984507
53,54,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,40,500,2.602751143451792,13.500829708595866
54,55,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,60,500,2.4422863813608107,11.499302500056768
55,56,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,60,500,2.602751143451792,13.500829708595866
56,57,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,60,500,2.525670504695033,12.499273275960652
57,58,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,500,2.4848821211989405,11.999705660541164
58,59,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,500,2.602751143451792,13.500829708595866
59,60,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,500,2.6741246303783845,14.499651727984507
60,61,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,100,2.525670504695033,12.499273275960652
61,62,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,100,2.5650388426503046,13.001163359504929
62,63,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,100,2.525670504695033,12.499273275960652
63,64,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,100,2.602751143451792,13.500829708595866
64,65,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,100,2.602751143451792,13.500829708595866
65,66,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,100,2.5650388426503046,13.001163359504929
66,67,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,100,2.602751143451792,13.500829708595866
67,68,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,100,2.6389732352794555,13.998822728800372
68,69,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,100,2.5650388426503046,13.001163359504929
69,70,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,100,2.525670504695033,12.499273275960652
70,71,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,100,2.525670504695033,12.499273275960652
71,72,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,100,2.5650388426503046,13.001163359504929
