,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_ARPE19,Exp_ARPE19
0,1,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,500,4.077686690120483,59.00880618379953
1,2,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,500,4.007609338438118,55.01519052366997
2,3,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,500,3.1355228402877575,23.00065836967064
3,4,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,500,3.367008244715225,28.991661226245515
4,5,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,500,3.4343107393317647,31.01003120287951
5,6,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,500,3.367008244715225,28.991661226245515
6,7,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,500,3.1355228402877575,23.00065836967064
7,8,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,500,3.044577296196901,21.00115205954286
8,9,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,500,2.707904251597284,14.997810917177775
9,10,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,500,2.4848821211989405,11.999705660541164
10,11,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,500,2.7726789280592854,16.001443358210743
11,12,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,500,2.707904251597284,14.997810917177775
12,13,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,500,5.537172665303551,253.95895648083453
13,14,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,500,5.537172665303551,253.95895648083453
14,15,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,500,5.153526956130379,173.0407223544917
15,16,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,500,3.5554367595855143,35.00310457104625
16,17,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,500,4.219129855549327,67.97431107895926
17,18,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,500,4.317152488292973,74.97483233043855
18,19,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,500,3.044577296196901,21.00115205954286
19,20,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,500,2.995939748575446,20.004149930917713
20,21,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,500,2.833250342481756,17.000628984869827
21,22,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,500,3.2957025435723697,26.99637353790015
22,23,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,500,2.833250342481756,17.000628984869827
23,24,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,500,2.6389732352794555,13.998822728800372
24,25,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,500,5.489189503445972,242.06093777505902
25,26,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,500,5.598728538346296,270.0827891140066
26,27,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,500,4.904984284312151,134.9607889885125
27,28,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,500,4.654071734600454,105.0116960178729
28,29,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,500,5.0240420863747035,152.02455994428766
29,30,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,500,4.9346480338547005,139.02420210737824
30,31,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,500,2.833250342481756,17.000628984869827
31,32,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,500,3.0910933727360477,22.001120254831193
32,33,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,500,2.707904251597284,14.997810917177775
33,34,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,500,2.7726789280592854,16.001443358210743
34,35,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,500,2.833250342481756,17.000628984869827
35,36,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,500,2.890175541218196,17.99646844628277
36,37,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,500,4.276550399640532,71.99166868701877
37,38,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,20,500,3.783911058128969,43.98774437241097
38,39,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,20,500,3.4343107393317647,31.01003120287951
39,40,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,500,3.0910933727360477,22.001120254831193
40,41,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,500,3.4343107393317647,31.01003120287951
41,42,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,500,2.995939748575446,20.004149930917713
42,43,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,500,2.7726789280592854,16.001443358210743
43,44,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,500,2.6389732352794555,13.998822728800372
44,45,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,500,2.7726789280592854,16.001443358210743
45,46,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,500,2.7726789280592854,16.001443358210743
46,47,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,500,2.707904251597284,14.997810917177775
47,48,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,80,500,2.944332606715115,18.997979030914447
48,49,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,20,500,2.4848821211989405,11.999705660541164
49,50,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,20,500,2.5650388426503046,13.001163359504929
50,51,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,20,500,2.890175541218196,17.99646844628277
51,52,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,40,500,2.707904251597284,14.997810917177775
52,53,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,40,500,2.6389732352794555,13.998822728800372
53,54,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,40,500,2.5650388426503046,13.001163359504929
54,55,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,60,500,2.707904251597284,14.997810917177775
55,56,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,60,500,2.6389732352794555,13.998822728800372
56,57,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,60,500,2.5650388426503046,13.001163359504929
57,58,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,500,2.6389732352794555,13.998822728800372
58,59,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,500,2.6389732352794555,13.998822728800372
59,60,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,500,2.707904251597284,14.997810917177775
60,61,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,100,5.293545098380928,199.04782020236806
61,62,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,100,5.159181195311707,174.0219072999017
62,63,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,100,3.9701295586018484,52.991395886114645
63,64,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,100,4.9346480338547005,139.02420210737824
64,65,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,100,5.393524903645633,219.97741976338796
65,66,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,100,3.829017899120732,46.01732238181185
66,67,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,100,3.33196553882205,27.993309601550315
67,68,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,100,3.761578055275684,43.01625447344221
68,69,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,100,2.7726789280592854,16.001443358210743
69,70,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,100,2.833250342481756,17.000628984869827
70,71,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,100,2.707904251597284,14.997810917177775
71,72,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,100,2.833250342481756,17.000628984869827
72,73,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,100,5.38493579875192,218.0961016160607
73,74,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,100,5.112123107431799,166.02246448639497
74,75,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,100,3.9121194432994737,50.00482212608044
75,76,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,100,4.762330471947649,117.0183162800893
76,77,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,100,3.7135817413769767,41.00039666349822
77,78,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,100,3.829017899120732,46.01732238181185
78,79,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,100,2.707904251597284,14.997810917177775
79,80,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,100,3.33196553882205,27.993309601550315
80,81,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,100,2.833250342481756,17.000628984869827
81,82,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,100,2.707904251597284,14.997810917177775
82,83,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,100,2.6389732352794555,13.998822728800372
83,84,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,100,2.7726789280592854,16.001443358210743
84,85,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,100,5.117762727652369,166.96141330291817
