,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_PC3
0,1,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,500,3.0
1,2,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,500,3.0
2,3,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,500,3.0
3,4,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,500,3.0
4,5,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,500,3.0
5,6,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,500,3.0
6,7,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,500,3.0
7,8,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,500,3.0
8,9,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,500,3.0
9,10,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,500,3.0
10,11,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,500,3.0
11,12,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,500,3.0
12,13,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,500,3.0
13,14,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,500,3.0
14,15,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,500,3.0
15,16,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,500,3.0
16,17,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,500,3.0
17,18,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,500,3.0
18,19,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,500,3.0
19,20,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,500,3.0
20,21,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,500,3.0
21,22,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,500,3.0
22,23,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,500,3.0
23,24,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,500,3.0
24,25,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,500,3.0
25,26,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,500,3.0
26,27,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,500,3.0
27,28,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,500,3.0
28,29,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,500,3.0
29,30,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,500,3.0
30,31,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,500,3.0
31,32,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,500,3.0
32,33,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,500,3.0
33,34,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,500,3.0
34,35,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,500,3.0
35,36,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,500,3.0
36,37,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,500,3.0
37,38,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,20,500,3.0
38,39,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,20,500,3.0
39,40,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,500,3.0
40,41,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,500,3.0
41,42,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,500,3.0
42,43,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,500,3.0
43,44,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,500,3.0
44,45,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,500,3.0
45,46,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,500,3.0
46,47,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,500,3.0
