,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_HEK293
0,1,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,500,9.46
1,2,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,500,8.621
2,3,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,500,8.584
3,4,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,500,9.102
4,5,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,500,11.098
5,6,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,500,9.509
6,7,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,500,9.866
7,8,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,500,10.057
8,9,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,500,10.787
9,10,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,500,4.29
10,11,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,500,9.986
11,12,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,500,3.0
12,13,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,500,5.283
13,14,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,500,7.526
14,15,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,500,8.227
15,16,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,500,9.761
16,17,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,500,9.668
17,18,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,500,9.741
18,19,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,500,8.985
19,20,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,500,9.484
20,21,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,500,9.968
21,22,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,500,8.644
22,23,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,500,9.956
23,24,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,500,3.0
24,25,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,500,4.63
25,26,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,500,7.685
26,27,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,500,7.769
27,28,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,500,9.543
28,29,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,500,10.136
29,30,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,500,8.814
30,31,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,500,8.805
31,32,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,500,9.334
32,33,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,500,9.443
33,34,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,500,9.587
34,35,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,500,10.442
35,36,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,500,3.135
36,37,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,500,7.14
37,38,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,20,500,9.996
38,39,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,20,500,9.706
39,40,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,500,9.851
40,41,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,500,9.137
41,42,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,500,8.643
42,43,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,500,8.954
43,44,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,500,10.867
44,45,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,500,10.993
45,46,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,500,11.769
46,47,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,500,11.956
47,48,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,80,500,3.912
48,49,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,20,500,4.543
49,50,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,20,500,4.094
50,51,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,20,500,3.367
51,52,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,40,500,6.029
52,53,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,40,500,4.6
53,54,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,40,500,3.0
54,55,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,60,500,3.367
55,56,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,60,500,3.85
56,57,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,60,500,3.861
57,58,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,500,3.97
58,59,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,500,4.06
59,60,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,500,4.234
60,61,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,100,9.118
61,62,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,100,7.03
62,63,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,100,8.172
63,64,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,100,8.92
64,65,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,100,9.759
65,66,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,100,9.91
66,67,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,100,9.788
67,68,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,100,10.054
68,69,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,100,11.208
69,70,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,100,8.416
70,71,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,100,10.519
71,72,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,100,12.319
72,73,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,100,8.725
73,74,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,100,7.148
74,75,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,100,8.766
75,76,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,100,9.07
76,77,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,100,9.798
77,78,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,100,10.032
78,79,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,100,10.357
79,80,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,100,10.134
80,81,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,100,11.444
81,82,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,100,8.579
82,83,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,100,6.127
83,84,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,100,12.586
84,85,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,100,8.454
85,86,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,100,7.951
86,87,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,100,8.79
87,88,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,100,9.014
88,89,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,100,9.952
89,90,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,100,10.517
90,91,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,100,10.551
91,92,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,100,11.074
92,93,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,100,11.66
93,94,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,100,10.835
94,95,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,100,11.636
